Data,vendas
01/1990,52233
02/1990,41228
03/1990,24353
04/1990,23705
05/1990,44062
06/1990,27130
07/1990,32537
08/1990,64831
09/1990,56181
10/1990,60823
11/1990,56113
12/1990,49643
01/1991,46333
02/1991,44841
03/1991,50278
04/1991,29848
05/1991,42862
06/1991,50689
07/1991,64343
08/1991,59727
09/1991,56078
10/1991,61178
11/1991,54214
12/1991,44009
01/1992,45564
02/1992,35670
03/1992,29532
04/1992,59286
05/1992,48504
06/1992,52800
07/1992,54745
08/1992,52790
09/1992,54402
10/1992,58045
11/1992,60724
12/1992,54528
01/1993,45391
02/1993,52852
03/1993,68340
04/1993,66141
05/1993,72945
06/1993,74900
07/1993,76217
08/1993,86505
09/1993,81504
10/1993,79348
11/1993,86964
12/1993,85058
01/1994,76949
02/1994,73365
03/1994,93809
04/1994,77888
05/1994,97046
06/1994,95819
07/1994,87074
08/1994,124940
09/1994,90322
10/1994,102604
11/1994,112675
12/1994,115876
01/1995,85162
02/1995,106347
03/1995,143722
04/1995,109623
05/1995,110796
06/1995,113555
07/1995,108252
08/1995,126164
09/1995,114258
10/1995,121546
11/1995,122878
12/1995,112661
01/1996,92387
02/1996,105129
03/1996,107542
04/1996,103020
05/1996,118411
06/1996,103635
07/1996,124362
08/1996,121240
09/1996,135062
10/1996,133768
11/1996,129053
12/1996,126420
01/1997,123816
02/1997,112550
03/1997,130645
04/1997,144626
05/1997,137537
06/1997,135316
07/1997,141959
08/1997,141165
09/1997,146148
10/1997,148693
11/1997,112484
12/1997,92909
01/1998,100316
02/1998,92375
03/1998,101607
04/1998,109486
05/1998,118436
06/1998,99928
07/1998,103576
08/1998,116702
09/1998,98040
10/1998,87403
11/1998,89552
12/1998,105328
01/1999,73983
02/1999,44579
03/1999,85474
04/1999,106913
05/1999,81458
06/1999,83286
07/1999,95450
08/1999,98557
09/1999,86731
10/1999,65483
11/1999,64201
12/1999,62917
01/2000,69984
02/2000,82262
03/2000,76748
04/2000,91613
05/2000,98154
06/2000,88517
07/2000,97353
08/2000,107994
09/2000,94587
10/2000,102438
11/2000,99997
12/2000,117834
01/2001,95858
02/2001,92482
03/2001,120790
04/2001,108687
05/2001,119188
06/2001,103780
07/2001,107953
08/2001,107488
09/2001,82538
10/2001,95989
11/2001,99826
12/2001,98282
01/2002,88892
02/2002,75704
03/2002,96402
04/2002,109123
05/2002,93805
06/2002,82449
07/2002,96199
08/2002,100218
09/2002,102572
10/2002,109216
11/2002,94638
12/2002,101350
01/2003,94946
02/2003,94160
03/2003,80693
04/2003,85496
05/2003,82212
06/2003,76772
07/2003,87566
08/2003,76417
09/2003,98472
10/2003,115884
11/2003,106573
12/2003,139769
01/2004,87469
02/2004,84154
03/2004,112498
04/2004,89824
05/2004,97442
06/2004,104569
07/2004,108075
08/2004,103498
09/2004,109521
10/2004,108757
11/2004,110275
12/2004,142548
01/2005,83563
02/2005,90749
03/2005,118713
04/2005,109241
05/2005,114257
06/2005,117502
07/2005,110037
08/2005,120663
09/2005,115394
10/2005,110990
11/2005,129176
12/2005,149090
01/2006,107035
02/2006,103476
03/2006,125225
04/2006,104459
05/2006,131494
06/2006,117748
07/2006,134895
08/2006,144285
09/2006,128767
10/2006,141649
11/2006,148720
12/2006,168486
01/2007,123388
02/2007,118806
03/2007,155758
04/2007,144130
05/2007,171197
06/2007,161132
07/2007,175429
08/2007,187880
09/2007,163210
10/2007,194771
11/2007,188839
12/2007,192595
01/2008,169800
02/2008,158768
03/2008,182534
04/2008,205612
05/2008,191462
06/2008,201512
07/2008,224957
08/2008,188215
