Data	vendas
01/2000	61,99
02/2000	67,81
03/2000	71,28
04/2000	78,23
05/2000	96,57
06/2000	90,5
07/2000	88,39
08/2000	82,81
09/2000	75
10/2000	78,35
11/2000	89,51
12/2000	167,36
01/2001	66,95
02/2001	67,19
03/2001	76,37
04/2001	75,62
05/2001	99,92
06/2001	91,24
07/2001	82,94
08/2001	85,79
09/2001	74,88
10/2001	83,93
11/2001	90,62
12/2001	169,1
01/2002	67,19
02/2002	64,71
03/2002	73,27
04/2002	74,63
05/2002	93,35
06/2002	84,67
07/2002	87,65
08/2002	87,65
09/2002	75,25
10/2002	84,43
11/2002	91
12/2002	167,24
01/2003	66,45
02/2003	68,43
03/2003	69,42
04/2003	74,51
05/2003	82,69
06/2003	80,71
07/2003	82,07
08/2003	81,82
09/2003	72,77
10/2003	82,81
11/2003	88,39
12/2003	168,48
01/2004	67,69
02/2004	64,47
03/2004	74,26
04/2004	74,38
05/2004	101,78
06/2004	92,11
07/2004	88,64
08/2004	80,95
09/2004	75,75
10/2004	81,7
11/2004	88,52
12/2004	176,66
01/2005	70,42
02/2005	64,47
03/2005	74,76
04/2005	85,42
05/2005	95,58
06/2005	93,35
07/2005	94,96
08/2005	89,51
09/2005	84,43
10/2005	89,26
11/2005	96,08
12/2005	191,04
01/2006	76,24
02/2006	68,43
03/2006	75,5
04/2006	82,69
05/2006	104,51
06/2006	90,87
07/2006	90,25
08/2006	90,75
09/2006	86,66
10/2006	87,9
11/2006	102,77
12/2006	194,76
01/2007	81,2
02/2007	70,79
03/2007	83,06
04/2007	86,16
05/2007	121,37
06/2007	105,75
07/2007	99,55
08/2007	102,4
09/2007	92,73
10/2007	101,29
11/2007	115,42
12/2007	213,6
01/2008	93,72
02/2008	79,59
03/2008	93,1
04/2008	103,15
05/2008	125,96
06/2008	116,66
07/2008	107,86
08/2008	106,86
09/2008	101,41
10/2008	101,53
11/2008	105,25
12/2008	199,72
01/2009	89,26
02/2009	74,14
03/2009	85,42
04/2009	93,23
05/2009	112,44
06/2009	115,42
07/2009	105,5
08/2009	100,79
09/2009	94,72
10/2009	105,5
11/2009	110,46
12/2009	211,87
01/2010	91,24
02/2010	82,44
03/2010	98,81
04/2010	108,72
05/2010	125,83
06/2010	120,38
07/2010	119,01
08/2010	113,93
09/2010	106,86
10/2010	116,04
11/2010	120,63
12/2010	232,57
01/2011	100,17
02/2011	94,1
03/2011	104,38
04/2011	110,34
05/2011	132,77
06/2011	134,01
07/2011	120,63
08/2011	114,92
09/2011	107,61
10/2011	113,43
11/2011	121,12
12/2011	234,31
01/2012	101,66
02/2012	91,12
03/2012	108,85
04/2012	108,85
05/2012	138,11
06/2012	134,76
07/2012	127,44
08/2012	124,59
09/2012	113,31
10/2012	118,64
11/2012	129,06
12/2012	243,23
01/2013	106,99
02/2013	91,49
03/2013	115,17
04/2013	120,01
05/2013	139,47
06/2013	130,54
07/2013	135,13
08/2013	129,18
09/2013	113,81
10/2013	122,98
11/2013	136,99
12/2013	250,67
01/2014	110,21
02/2014	98,06
03/2014	106,74
04/2014	113,81
05/2014	142,32
06/2014	127,32
07/2014	129,55
08/2014	128,19
09/2014	113,81
10/2014	123,72
11/2014	139,47
12/2014	242,24
01/2015	109,47
02/2015	90,75
03/2015	105,5
04/2015	105,25
05/2015	131,16
06/2015	121,49
07/2015	119,01
08/2015	110,58
09/2015	99,18
10/2015	110,71
11/2015	117,77
12/2015	218,81
01/2016	95,33
02/2016	80,33
03/2016	89,38
04/2016	94,84
05/2016	113,31
06/2016	116,78
07/2016	102,28
08/2016	98,93
09/2016	89,01
10/2016	97,19
11/2016	106,24
12/2016	199,6
01/2017	94,54
02/2017	83,26
03/2017	99,78
04/2017	105,12
05/2017	119,11
06/2017	121,72
07/2017	117,63
08/2017	108,22
09/2017	100,16
10/2017	101,84
11/2017	115,67
12/2017	213,39
01/2018	95,08
02/2018	79,65
03/2018	99,38
04/2018	97,88
05/2018	115,18
06/2018	118,31
07/2018	108,25
08/2018	111,77
09/2018	101,72
10/2018	106,38
11/2018	122,04
12/2018	211,26
01/2019	93,75
02/2019	88,23
03/2019	94,63
04/2019	94,74
05/2019	113,75
06/2019	116,48
07/2019	115,32
08/2019	108,01
09/2019	100,14
10/2019	108,82
11/2019	124,02
12/2019	211,04
01/2020	96,21
02/2020	88,92
03/2020	57,1
04/2020	18,22
05/2020	42,43
06/2020	65,66
07/2020	79,42
08/2020	101,39
09/2020	93,25
10/2020	106,3
11/2020	119,72
12/2020	191,84
01/2021	75,81
02/2021	72,18
03/2021	48,75
04/2021	73,1
05/2021	112,54
06/2021	105,97
07/2021	112,79
08/2021	102,5
09/2021	93,55
10/2021	104,19
11/2021	114,46
12/2021	189,86
01/2022	77,63
02/2022	78,12
03/2022	88,37
04/2022	97,9
05/2022	122,15
06/2022	108,34
07/2022	94,5
08/2022	96,91
09/2022	84,65
10/2022	88,54
11/2022	95,66
12/2022	167,22
01/2023	79,49
02/2023	71,15
03/2023	81,89
04/2023	86,92
05/2023	99,93
06/2023	101,52
07/2023	95,77
08/2023	90,18
09/2023	82,35
10/2023	85,85
11/2023	101,17
12/2023	168,17
01/2024	79,91
02/2024	70,81
03/2024	81,13
04/2024	83,7
05/2024	101,95
06/2024	101,53
07/2024	101,16
08/2024	95,41
09/2024	85,2
10/2024	92,65
11/2024	109,52
12/2024	174,17
01/2025	82,01
