UF,COD,MUN,ARRECADACAO_TOTAL_IMPOSTOS
AC,1200013,Acrelândia,1058257.99282177
AC,1200054,Assis Brasil,551465.627205678
AC,1200104,Brasiléia,2737005.95824633
AC,1200138,Bujari,646752.058564385
AC,1200179,Capixaba,570723.549983868
AC,1200203,Cruzeiro do Sul,9368761.10485467
AC,1200252,Epitaciolândia,1760020.78786307
AC,1200302,Feijó,3588692.96259653
AC,1200328,Jordão,560853.504141172
AC,1200336,Mâncio Lima,704161.040089124
AC,1200344,Manoel Urbano,804868.102919559
AC,1200351,Marechal Thaumaturgo,497023.211414456
AC,1200385,Plácido de Castro,1048965.30442115
AC,1200393,Porto Walter,305599.026753031
AC,1200401,Rio Branco,122399332.539224
AC,1200427,Rodrigues Alves,396611.667271439
AC,1200435,Santa Rosa do Purus,308214.618955484
AC,1200450,Senador Guiomard,1443039.16124229
AC,1200500,Sena Madureira,2625727.80174184
AC,1200609,Tarauacá,2099025.32828028
AC,1200708,Xapuri,1363670.83777561
AC,1200807,Porto Acre,849122.705912117
AL,2700102,Água Branca,507879.915141801
AL,2700201,Anadia,457575.820904232
AL,2700300,Arapiraca,42398448.9065169
AL,2700409,Atalaia,984555.807923019
AL,2700508,Barra de Santo Antônio,941293.798422026
AL,2700607,Barra de São Miguel,10208484.9088517
AL,2700706,Batalha,820966.699761983
AL,2700805,Belém,301818.421251663
AL,2700904,Belo Monte,346267.348697716
AL,2701001,Boca da Mata,1139964.90780294
AL,2701100,Branquinha,152446.392632811
AL,2701209,Cacimbinhas,250374.444308976
AL,2701308,Cajueiro,309359.661125369
AL,2701357,Campestre,4459.8905804099
AL,2701407,Campo Alegre,2667810.59146539
AL,2701506,Campo Grande,56619.6483787629
AL,2701605,Canapi,470364.451851498
AL,2701704,Capela,380987.546297298
AL,2701803,Carneiros,342916.443868567
AL,2701902,Chã Preta,142451.416966786
AL,2702009,Coité do Nóia,333131.233439926
AL,2702108,Colônia Leopoldina,442946.850929706
AL,2702207,Coqueiro Seco,287942.912637421
AL,2702306,Coruripe,4196281.76022138
AL,2702355,Craíbas,1655959.80966092
AL,2702405,Delmiro Gouveia,4615656.73986945
AL,2702504,Dois Riachos,710686.730443135
AL,2702553,Estrela de Alagoas,195975.314683398
AL,2702603,Feira Grande,335991.382220878
AL,2702702,Feliz Deserto,59250.7702624444
AL,2702801,Flexeiras,147445.614743488
AL,2702900,Girau do Ponciano,38296.1836518192
AL,2703007,Ibateguara,414031.271727258
AL,2703106,Igaci,886897.817813711
AL,2703205,Igreja Nova,824528.125455896
AL,2703304,Inhapi,593363.450630178
AL,2703403,Jacaré dos Homens,56771.5499965378
AL,2703502,Jacuípe,93663.7643032749
AL,2703601,Japaratinga,1726594.07218364
AL,2703700,Jaramataia,152990.316127751
AL,2703759,Jequiá da Praia,1709444.63699722
AL,2703809,Joaquim Gomes,654497.6563239
AL,2703908,Jundiá,32632.4658268082
AL,2704005,Junqueiro,905373.984234477
AL,2704104,Lagoa da Canoa,472319.745394959
AL,2704203,Limoeiro de Anadia,1446129.55242066
AL,2704302,Maceió,467109924.712988
AL,2704401,Major Isidoro,469843.62285939
AL,2704500,Maragogi,14368871.5444118
AL,2704609,Maravilha,20783.7088301868
AL,2704708,Marechal Deodoro,24433771.1610002
AL,2704807,Maribondo,684266.608947403
AL,2704906,Mar Vermelho,133881.787036648
AL,2705002,Mata Grande,597303.625144776
