UF,COD,MUN,VALOR_TOTAL_BF
AC,1200013,Acrelândia,929101
AC,1200054,Assis Brasil,737037
AC,1200104,Brasiléia,1852399
AC,1200138,Bujari,641.3
AC,1200179,Capixaba,781059
AC,1200203,Cruzeiro do Sul,5627.12
AC,1200252,Epitaciolândia,982161
AC,1200302,Feijó,2321639
AC,1200328,Jordão,830746
AC,1200336,Mâncio Lima,1806684
AC,1200344,Manoel Urbano,1043127
AC,1200351,Marechal Thaumaturgo,1778142
AC,1200385,Plácido de Castro,900873
AC,1200393,Porto Walter,842811
AC,1200401,Rio Branco,16522173
AC,1200427,Rodrigues Alves,1304975
AC,1200435,Santa Rosa do Purus,614819
AC,1200450,Senador Guiomard,1680389
AC,1200500,Sena Madureira,3829091
AC,1200609,Tarauacá,4186.92
AC,1200708,Xapuri,1029103
AC,1200807,Porto Acre,1744174
AL,2700102,Água Branca,1436434
AL,2700201,Anadia,1392.1
AL,2700300,Arapiraca,9546674
AL,2700409,Atalaia,2981549
AL,2700508,Barra de Santo Antônio,1627777
AL,2700607,Barra de São Miguel,646.8
AL,2700706,Batalha,1799479
AL,2700805,Belém,385.76
AL,2700904,Belo Monte,600712
AL,2701001,Boca da Mata,2345053
AL,2701100,Branquinha,898583
AL,2701209,Cacimbinhas,807176
AL,2701308,Cajueiro,1443746
AL,2701357,Campestre,619693
AL,2701407,Campo Alegre,2225521
AL,2701506,Campo Grande,1199.83
AL,2701605,Canapi,1798254
AL,2701704,Capela,860.03
AL,2701803,Carneiros,861754
AL,2701902,Chã Preta,938369
AL,2702009,Coité do Nóia,752363
AL,2702108,Colônia Leopoldina,2029177
AL,2702207,Coqueiro Seco,454187
AL,2702306,Coruripe,2671732
AL,2702355,Craíbas,1918788
AL,2702405,Delmiro Gouveia,3435839
AL,2702504,Dois Riachos,1129652
AL,2702553,Estrela de Alagoas,1267191
AL,2702603,Feira Grande,1843822
AL,2702702,Feliz Deserto,246858
AL,2702801,Flexeiras,930826
AL,2702900,Girau do Ponciano,2974166
AL,2703007,Ibateguara,1124702
AL,2703106,Igaci,2149816
AL,2703205,Igreja Nova,1510112
AL,2703304,Inhapi,1499841
AL,2703403,Jacaré dos Homens,493523
AL,2703502,Jacuípe,504171
AL,2703601,Japaratinga,1134418
AL,2703700,Jaramataia,440.43
AL,2703759,Jequiá da Praia,1315954
AL,2703809,Joaquim Gomes,1620845
AL,2703908,Jundiá,341.19
AL,2704005,Junqueiro,1840995
AL,2704104,Lagoa da Canoa,1585228
AL,2704203,Limoeiro de Anadia,2314478
AL,2704302,Maceió,36320.22
AL,2704401,Major Isidoro,1520.73
AL,2704500,Maragogi,2688718
AL,2704609,Maravilha,1246548
AL,2704708,Marechal Deodoro,3680098
AL,2704807,Maribondo,947961
AL,2704906,Mar Vermelho,283521
AL,2705002,Mata Grande,1638319
AL,2705101,Matriz de Camaragibe,1877571
AL,2705200,Messias,867292
AL,2705309,Minador do Negrão,377264
AL,2705408,Monteirópolis,716043
AL,2705507,Murici,1769789
AL,2705606,Novo Lino,897259
AL,2705705,Olho d'Água das Flores,1703803
AL,2705804,Olho d'Água do Casado,807724
AL,2705903,Olho d'Água Grande,575671
AL,2706000,Olivença,1023881
AL,2706109,Ouro Branco,1235474
AL,2706208,Palestina,415968
AL,2706307,Palmeira dos Índios,5908.18
AL,2706406,Pão de Açúcar,1665684
AL,2706422,Pariconha,842541
AL,2706448,Paripueira,1141906
AL,2706505,Passo de Camaragibe,1187668
AL,2706604,Paulo Jacinto,579379
AL,2706703,Penedo,5835875
AL,2706802,Piaçabuçu,2086218
AL,2706901,Pilar,3027035
AL,2707008,Pindoba,161255
AL,2707107,Piranhas,1796653
AL,2707206,Poço das Trincheiras,1342078
AL,2707305,Porto Calvo,2294618
AL,2707404,Porto de Pedras,710944
AL,2707503,Porto Real do Colégio,1869.24
AL,2707602,Quebrangulo,1037534
AL,2707701,Rio Largo,5762379
AL,2707800,Roteiro,687311
AL,2707909,Santa Luzia do Norte,456544
AL,2708006,Santana do Ipanema,4087775
AL,2708105,Santana do Mundaú,912995
AL,2708204,São Brás,436.41
AL,2708303,São José da Laje,1416336
AL,2708402,São José da Tapera,2799447
AL,2708501,São Luís do Quitunde,2762672
AL,2708600,São Miguel dos Campos,4084569
AL,2708709,São Miguel dos Milagres,563989
AL,2708808,São Sebastião,2571768
AL,2708907,Satuba,861.4
AL,2708956,Senador Rui Palmeira,1417691
AL,2709004,Tanque d'Arca,448.9
AL,2709103,Taquarana,1339125
AL,2709152,Teotônio Vilela,2437492
AL,2709202,Traipu,2099887
AL,2709301,União dos Palmares,4492286
AL,2709400,Viçosa,1769354
AM,1300029,Alvarães,1181.79
AM,1300060,Amaturá,736987
AM,1300086,Anamã,873547
AM,1300102,Anori,1459974
AM,1300144,Apuí,911052
AM,1300201,Atalaia do Norte,1141054
AM,1300300,Autazes,6355819
AM,1300409,Barcelos,1093288
AM,1300508,Barreirinha,2548.58
AM,1300607,Benjamin Constant,2593782
AM,1300631,Beruri,2378751
AM,1300680,Boa Vista do Ramos,1252587
AM,1300706,Boca do Acre,2275668
AM,1300805,Borba,2631156
AM,1300839,Caapiranga,855908
AM,1300904,Canutama,1303.34
AM,1301001,Carauari,2838578
AM,1301100,Careiro,2272041
AM,1301159,Careiro da Várzea,1602481
AM,1301209,Coari,5216214
AM,1301308,Codajás,1647793
AM,1301407,Eirunepé,2728001
AM,1301506,Envira,1700436
AM,1301605,Fonte Boa,2150637
AM,1301654,Guajará,1342674
AM,1301704,Humaitá,4165133
AM,1301803,Ipixuna,1842334
AM,1301852,Iranduba,5864155
