UF,COD,MUN,COTA_PARTE_FPM
AC,1200013,Acrelândia,16280916.15
AC,1200054,Assis Brasil,9772384.65
AC,1200104,Brasiléia,22793282.52
AC,1200138,Bujari,13024732.92
AC,1200179,Capixaba,13024732.92
AC,1200203,Cruzeiro do Sul,45586565.28
AC,1200252,Epitaciolândia,19545688.96
AC,1200302,Feijó,26049465.83
AC,1200328,Jordão,9768549.75
AC,1200336,Mâncio Lima,19537099.31
AC,1200344,Manoel Urbano,
AC,1200351,Marechal Thaumaturgo,19537099.31
AC,1200385,Plácido de Castro,19537099.31
AC,1200393,Porto Walter,13148340.99
AC,1200401,Rio Branco,618464079.53
AC,1200427,Rodrigues Alves,19537099.31
AC,1200435,Santa Rosa do Purus,9770374.97
AC,1200450,Senador Guiomard,19537099.31
AC,1200500,Sena Madureira,32561832.22
AC,1200609,Tarauacá,29305649.07
AC,1200708,Xapuri,19537099.31
AC,1200807,Porto Acre,19537099.31
AL,2700102,Água Branca,32755597.97
AL,2700201,Anadia,32755597.97
AL,2700300,Arapiraca,175301896.33
AL,2700409,Atalaia,54592663.28
AL,2700508,Barra de Santo Antônio,27296331.65
AL,2700607,Barra de São Miguel,16377798.96
AL,2700706,Batalha,32755597.97
AL,2700805,Belém,16377798.96
AL,2700904,Belo Monte,16377798.96
AL,2701001,Boca da Mata,38215408.59
AL,2701100,Branquinha,21837065.3
AL,2701209,Cacimbinhas,21837065.3
AL,2701308,Cajueiro,32755597.97
AL,2701357,Campestre,15143046.8
AL,2701407,Campo Alegre,60051929.54
AL,2701506,Campo Grande,
AL,2701605,Canapi,32755597.97
AL,2701704,Capela,32755597.97
AL,2701803,Carneiros,16377798.96
AL,2701902,Chã Preta,16377798.96
AL,2702009,Coité do Nóia,21837065.3
AL,2702108,Colônia Leopoldina,32755597.97
AL,2702207,Coqueiro Seco,16377798.96
AL,2702306,Coruripe,60051929.6
AL,2702355,Craíbas,38214864.3
AL,2702405,Delmiro Gouveia,60051929.54
AL,2702504,Dois Riachos,21837065.3
AL,2702553,Estrela de Alagoas,32755597.97
AL,2702603,Feira Grande,32755597.97
AL,2702702,Feliz Deserto,16377798.96
AL,2702801,Flexeiras,21837065.3
AL,2702900,Girau do Ponciano,49133396.95
AL,2703007,Ibateguara,27296356.65
AL,2703106,Igaci,38214864.3
AL,2703205,Igreja Nova,38214864.3
AL,2703304,Inhapi,32755597.97
AL,2703403,Jacaré dos Homens,16377798.96
AL,2703502,Jacuípe,16377798.96
AL,2703601,Japaratinga,16377798.96
AL,2703700,Jaramataia,16375798.96
AL,2703759,Jequiá da Praia,21837066.69
AL,2703809,Joaquim Gomes,38214887.29
AL,2703908,Jundiá,16377798.96
AL,2704005,Junqueiro,38214864.3
AL,2704104,Lagoa da Canoa,32755597.97
AL,2704203,Limoeiro de Anadia,38214864.3
AL,2704302,Maceió,773078016.18
AL,2704401,Major Isidoro,32755597.97
AL,2704500,Maragogi,43674130.63
AL,2704609,Maravilha,16377798.97
AL,2704708,Marechal Deodoro,60051929.54
AL,2704807,Maribondo,21837065.3
AL,2704906,Mar Vermelho,14264115.7
AL,2705002,Mata Grande,4931927.59
AL,2705101,Matriz de Camaragibe,38214864.3
AL,2705200,Messias,32755597.97
AL,2705309,Minador do Negrão,16377798.96
AL,2705408,Monteirópolis,16377798.96
AL,2705507,Murici,38214864.3
AL,2705606,Novo Lino,21837065.27
AL,2705705,Olho d'Água das Flores,32755597.97
AL,2705804,Olho d'Água do Casado,16377798.96
AL,2705903,Olho d'Água Grande,
AL,2706000,Olivença,21866685
AL,2706109,Ouro Branco,21337065.3
AL,2706208,Palestina,16377798.96
AL,2706307,Palmeira dos Índios,70970462.27
AL,2706406,Pão de Açúcar,38214864.3
AL,2706422,Pariconha,21837065.3
AL,2706448,Paripueira,21837065.3
AL,2706505,Passo de Camaragibe,27296331.65
AL,2706604,Paulo Jacinto,16377798.96
AL,2706703,Penedo,65511195.92
AL,2706802,Piaçabuçu,32755597.97
AL,2706901,Pilar,43674130.63
AL,2707008,Pindoba,16377798.96
AL,2707107,Piranhas,38214864.3
AL,2707206,Poço das Trincheiras,27296331.65
AL,2707305,Porto Calvo,38214864.3
AL,2707404,Porto de Pedras,16377798.96
AL,2707503,Porto Real do Colégio,32755597.97
AL,2707602,Quebrangulo,21837065.3
AL,2707701,Rio Largo,70970462.27
AL,2707800,Roteiro,16377798.96
AL,2707909,Santa Luzia do Norte,16377798.96
AL,2708006,Santana do Ipanema,54592663.28
AL,2708105,Santana do Mundaú,21837065.3
AL,2708204,São Brás,16377798.96
AL,2708303,São José da Laje,38214864.3
AL,2708402,São José da Tapera,43674227.72
AL,2708501,São Luís do Quitunde,35678663.91
AL,2708600,São Miguel dos Campos,65511195.92
AL,2708709,São Miguel dos Milagres,16377798.96
AL,2708808,São Sebastião,43674130.63
AL,2708907,Satuba,27296331.65
AL,2708956,Senador Rui Palmeira,27296331.65
AL,2709004,Tanque d'Arca,16377798.96
AL,2709103,Taquarana,32755597.97
AL,2709152,Teotônio Vilela,54592663.49
AL,2709202,Traipu,38214864.3
AL,2709301,União dos Palmares,64998454.26
AL,2709400,Viçosa,38214864.3
AM,1300029,Alvarães,23736946.93
AM,1300060,Amaturá,15954816.59
AM,1300086,Anamã,19943520.72
AM,1300102,Anori,23932224.85
AM,1300144,Apuí,23932224.85
AM,1300201,Atalaia do Norte,23932224.85
AM,1300300,Autazes,35898337.36
AM,1300409,Barcelos,34094478.62
AM,1300508,Barreirinha,31909633.14
AM,1300607,Benjamin Constant,39887041.48
AM,1300631,Beruri,23932224.85
AM,1300680,Boa Vista do Ramos,23932224.85
AM,1300706,Boca do Acre,31909633.14
AM,1300805,Borba,37568733.4
AM,1300839,Caapiranga,23052007.08
AM,1300904,Canutama,19943520.72
AM,1301001,Carauari,27920929.03
AM,1301100,Careiro,35898337.36
AM,1301159,Careiro da Várzea,31909633.38
AM,1301209,Coari,55841858.03
AM,1301308,Codajás,27920929.03
AM,1301407,Eirunepé,31909633.14
AM,1301506,Envira,23932224.85
AM,1301605,Fonte Boa,26880267.46
AM,1301654,Guajará,23932224.85
AM,1301704,Humaitá,47708224.58
AM,1301803,Ipixuna,31909633.14
AM,1301852,Iranduba,39887041.48
AM,1301902,Itacoatiara,66680636.78
AM,1301951,Itamarati,15652495.36
AM,1302009,Itapiranga,15798561.46
AM,1302108,Japurá,15798561.46
AM,1302207,Juruá,19943520.72
AM,1302306,Jutaí,27530373.18
AM,1302405,Lábrea,43875745.58
AM,1302504,Manacapuru,83973374.69
AM,1302553,Manaquiri,31909633.14
AM,1302603,Manaus,974078300.37
AM,1302702,Manicoré,43875745.58
AM,1302801,Maraã,23932224.85
AM,1302900,Maués,47865361.78
AM,1303007,Nhamundá,23028827.32
AM,1303106,Nova Olinda do Norte,35898345.67
AM,1303205,Novo Airão,25686742.65
AM,1303304,Novo Aripuanã,27920929.03
AM,1303403,Parintins,67807970.42
AM,1303502,Pauini,29237176.65
AM,1303536,Presidente Figueiredo,35898337.36
AM,1303569,Rio Preto da Eva,31909633.14
AM,1303601,Santa Isabel do Rio Negro,31029415.37
AM,1303700,Santo Antônio do Içá,27920929.03
AM,1303809,São Gabriel da Cachoeira,39603058.64
AM,1303908,São Paulo de Olivença,35898337.36
AM,1303957,São Sebastião do Uatumã,19943520.72
AM,1304005,Silves,11966112.47
AM,1304062,Tabatinga,51853153.92
AM,1304104,Tapauá,27570734.17
AM,1304203,Tefé,47864449.71
AM,1304237,Tonantins,23932224.85
AM,1304260,Uarini,19943520.72
AM,1304302,Urucará,23932224.85
AM,1304401,Urucurituba,27920929.03
AP,1600055,Serra do Navio,8953727.9
AP,1600105,Amapá,7514933.46
AP,1600154,Pedra Branca do Amaparí,15029866.88
AP,1600204,Calçoene,
AP,1600212,Cutias,
AP,1600238,Ferreira Gomes,7514933.46
AP,1600253,Itaubal,7514933.46
AP,1600279,Laranjal do Jari,27554755.96
AP,1600303,Macapá,494769930.38
AP,1600402,Mazagão,15029866.87
AP,1600501,Oiapoque,17534844.71
AP,1600535,Porto Grande,15029946.56
AP,1600550,Pracuúba,7514933.46
AP,1600600,Santana,42584612.85
AP,1600709,Tartarugalzinho,
AP,1600808,Vitória do Jari,12524889.05
BA,2900108,Abaíra,13128425.26
BA,2900207,Abaré,32141051.89
BA,2900306,Acajutiba,26784209.96
BA,2900355,Adustina,32141051.89
BA,2900405,Água Fria,26256850.1
BA,2900504,Érico Cardoso,21427367.92
BA,2900603,Aiquara,16070526
BA,2900702,Alagoinhas,161284910.58
BA,2900801,Alcobaça,32141051.89
BA,2900900,Almadina,16070526
BA,2901007,Amargosa,48211577.89
BA,2901106,Amélia Rodrigues,37497893.89
BA,2901155,América Dourada,26784209.96
BA,2901205,Anagé,32141051.89
BA,2901304,Andaraí,26784209.96
BA,2901353,Andorinha,26784209.96
BA,2901403,Angical,26784209.96
BA,2901502,Anguera,21427367.92
BA,2901601,Antas,32141051.89
BA,2901700,Antônio Cardoso,21427367.92
BA,2901809,Antônio Gonçalves,21427367.92
