UF,COD,MUN,DEMISSOES
AC,1200013,Acrelândia,392
AC,1200054,Assis Brasil,55
AC,1200104,Brasiléia,1110
AC,1200138,Bujari,893
AC,1200179,Capixaba,158
AC,1200203,Cruzeiro do Sul,3150
AC,1200252,Epitaciolândia,674
AC,1200302,Feijó,295
AC,1200328,Jordão,21
AC,1200336,Mâncio Lima,128
AC,1200344,Manoel Urbano,145
AC,1200351,Marechal Thaumaturgo,15
AC,1200385,Plácido de Castro,875
AC,1200393,Porto Walter,6
AC,1200401,Rio Branco,28228
AC,1200427,Rodrigues Alves,854
AC,1200435,Santa Rosa do Purus,8
AC,1200450,Senador Guiomard,811
AC,1200500,Sena Madureira,1293
AC,1200609,Tarauacá,537
AC,1200708,Xapuri,321
AC,1200807,Porto Acre,383
AL,2700102,Água Branca,36
AL,2700201,Anadia,81
AL,2700300,Arapiraca,14282
AL,2700409,Atalaia,2364
AL,2700508,Barra de Santo Antônio,565
AL,2700607,Barra de São Miguel,759
AL,2700706,Batalha,163
AL,2700805,Belém,99
AL,2700904,Belo Monte,22
AL,2701001,Boca da Mata,376
AL,2701100,Branquinha,29
AL,2701209,Cacimbinhas,178
AL,2701308,Cajueiro,147
AL,2701357,Campestre,25
AL,2701407,Campo Alegre,2417
AL,2701506,Campo Grande,18
AL,2701605,Canapi,31
AL,2701704,Capela,179
AL,2701803,Carneiros,16
AL,2701902,Chã Preta,135
AL,2702009,Coité do Nóia,30
AL,2702108,Colônia Leopoldina,862
AL,2702207,Coqueiro Seco,51
AL,2702306,Coruripe,3039
AL,2702355,Craíbas,276
AL,2702405,Delmiro Gouveia,1130
AL,2702504,Dois Riachos,26
AL,2702553,Estrela de Alagoas,27
AL,2702603,Feira Grande,155
AL,2702702,Feliz Deserto,88
AL,2702801,Flexeiras,134
AL,2702900,Girau do Ponciano,119
AL,2703007,Ibateguara,57
AL,2703106,Igaci,77
AL,2703205,Igreja Nova,1333
AL,2703304,Inhapi,112
AL,2703403,Jacaré dos Homens,10
AL,2703502,Jacuípe,30
AL,2703601,Japaratinga,334
AL,2703700,Jaramataia,12
AL,2703759,Jequiá da Praia,159
AL,2703809,Joaquim Gomes,257
AL,2703908,Jundiá,36
AL,2704005,Junqueiro,1258
AL,2704104,Lagoa da Canoa,378
AL,2704203,Limoeiro de Anadia,488
AL,2704302,Maceió,73104
AL,2704401,Major Isidoro,160
AL,2704500,Maragogi,1854
AL,2704609,Maravilha,15
AL,2704708,Marechal Deodoro,4418
AL,2704807,Maribondo,110
AL,2704906,Mar Vermelho,9
AL,2705002,Mata Grande,98
AL,2705101,Matriz de Camaragibe,1651
AL,2705200,Messias,262
AL,2705309,Minador do Negrão,3
AL,2705408,Monteirópolis,117
AL,2705507,Murici,696
AL,2705606,Novo Lino,172
AL,2705705,Olho d'Água das Flores,225
AL,2705804,Olho d'Água do Casado,58
AL,2705903,Olho d'Água Grande,2
AL,2706000,Olivença,14
AL,2706109,Ouro Branco,38
AL,2706208,Palestina,0
AL,2706307,Palmeira dos Índios,1378
AL,2706406,Pão de Açúcar,857
AL,2706422,Pariconha,13
AL,2706448,Paripueira,660
AL,2706505,Passo de Camaragibe,313
AL,2706604,Paulo Jacinto,8
AL,2706703,Penedo,1571
AL,2706802,Piaçabuçu,105
AL,2706901,Pilar,1005
AL,2707008,Pindoba,3
AL,2707107,Piranhas,322
AL,2707206,Poço das Trincheiras,14
AL,2707305,Porto Calvo,989
AL,2707404,Porto de Pedras,543
AL,2707503,Porto Real do Colégio,47
AL,2707602,Quebrangulo,41
AL,2707701,Rio Largo,8282
AL,2707800,Roteiro,84
AL,2707909,Santa Luzia do Norte,175
AL,2708006,Santana do Ipanema,999
AL,2708105,Santana do Mundaú,35
AL,2708204,São Brás,15
AL,2708303,São José da Laje,3009
AL,2708402,São José da Tapera,262
AL,2708501,São Luís do Quitunde,2730
AL,2708600,São Miguel dos Campos,5285
AL,2708709,São Miguel dos Milagres,491
AL,2708808,São Sebastião,641
AL,2708907,Satuba,461
AL,2708956,Senador Rui Palmeira,28
AL,2709004,Tanque d'Arca,16
AL,2709103,Taquarana,90
AL,2709152,Teotônio Vilela,2883
AL,2709202,Traipu,27
AL,2709301,União dos Palmares,1007
AL,2709400,Viçosa,316
AM,1300029,Alvarães,23
AM,1300060,Amaturá,6
AM,1300086,Anamã,3
AM,1300102,Anori,12
AM,1300144,Apuí,244
AM,1300201,Atalaia do Norte,14
AM,1300300,Autazes,117
AM,1300409,Barcelos,39
AM,1300508,Barreirinha,46
AM,1300607,Benjamin Constant,68
AM,1300631,Beruri,6
AM,1300680,Boa Vista do Ramos,19
AM,1300706,Boca do Acre,555
AM,1300805,Borba,66
AM,1300839,Caapiranga,4
AM,1300904,Canutama,22
AM,1301001,Carauari,35
AM,1301100,Careiro,200
AM,1301159,Careiro da Várzea,30
AM,1301209,Coari,420
AM,1301308,Codajás,77
AM,1301407,Eirunepé,76
AM,1301506,Envira,14
AM,1301605,Fonte Boa,19
AM,1301654,Guajará,27
AM,1301704,Humaitá,1328
AM,1301803,Ipixuna,5
AM,1301852,Iranduba,1364
AM,1301902,Itacoatiara,2134
AM,1301951,Itamarati,11
AM,1302009,Itapiranga,37
AM,1302108,Japurá,9
AM,1302207,Juruá,9
AM,1302306,Jutaí,22
AM,1302405,Lábrea,263
AM,1302504,Manacapuru,1247
AM,1302553,Manaquiri,44
AM,1302603,Manaus,185586
AM,1302702,Manicoré,430
AM,1302801,Maraã,5
AM,1302900,Maués,291
AM,1303007,Nhamundá,33
AM,1303106,Nova Olinda do Norte,109
AM,1303205,Novo Airão,108
AM,1303304,Novo Aripuanã,110
AM,1303403,Parintins,1232
AM,1303502,Pauini,14
AM,1303536,Presidente Figueiredo,1647
AM,1303569,Rio Preto da Eva,505
AM,1303601,Santa Isabel do Rio Negro,7
AM,1303700,Santo Antônio do Içá,23
AM,1303809,São Gabriel da Cachoeira,209
AM,1303908,São Paulo de Olivença,34
AM,1303957,São Sebastião do Uatumã,36
AM,1304005,Silves,47
AM,1304062,Tabatinga,589
AM,1304104,Tapauá,24
AM,1304203,Tefé,679
AM,1304237,Tonantins,5
AM,1304260,Uarini,15
AM,1304302,Urucará,15
AM,1304401,Urucurituba,17
AP,1600055,Serra do Navio,73
AP,1600105,Amapá,55
AP,1600154,Pedra Branca do Amaparí,1854
AP,1600204,Calçoene,75
AP,1600212,Cutias,31
AP,1600238,Ferreira Gomes,39
AP,1600253,Itaubal,30
AP,1600279,Laranjal do Jari,392
AP,1600303,Macapá,27165
AP,1600402,Mazagão,539
AP,1600501,Oiapoque,488
AP,1600535,Porto Grande,370
AP,1600550,Pracuúba,11
AP,1600600,Santana,3438
AP,1600709,Tartarugalzinho,129
AP,1600808,Vitória do Jari,60
BA,2900108,Abaíra,4
BA,2900207,Abaré,218
BA,2900306,Acajutiba,173
BA,2900355,Adustina,36
BA,2900405,Água Fria,139
BA,2900504,Érico Cardoso,60
BA,2900603,Aiquara,41
BA,2900702,Alagoinhas,9806
BA,2900801,Alcobaça,362
BA,2900900,Almadina,32
BA,2901007,Amargosa,875
BA,2901106,Amélia Rodrigues,851
BA,2901155,América Dourada,34
BA,2901205,Anagé,136
BA,2901304,Andaraí,307
BA,2901353,Andorinha,119
BA,2901403,Angical,84
BA,2901502,Anguera,121
BA,2901601,Antas,98
BA,2901700,Antônio Cardoso,66
BA,2901809,Antônio Gonçalves,42
BA,2901908,Aporá,222
BA,2901957,Apuarema,36
BA,2902005,Aracatu,98
BA,2902054,Araças,154
BA,2902104,Araci,401
BA,2902203,Aramari,117
BA,2902252,Arataca,148
BA,2902302,Aratuípe,35
BA,2902401,Aurelino Leal,154
BA,2902500,Baianópolis,140
BA,2902609,Baixa Grande,145
BA,2902658,Banzaê,37
BA,2902708,Barra,354
BA,2902807,Barra da Estiva,399
BA,2902906,Barra do Choça,1319
BA,2903003,Barra do Mendes,53
BA,2903102,Barra do Rocha,27
BA,2903201,Barreiras,13820
BA,2903235,Barro Alto,20
BA,2903276,Barrocas,561
BA,2903300,Governador Lomanto Júnior,52
BA,2903409,Belmonte,418
BA,2903508,Belo Campo,115
BA,2903607,Biritinga,147
BA,2903706,Boa Nova,73
BA,2903805,Boa Vista do Tupim,64
BA,2903904,Bom Jesus da Lapa,1951
BA,2903953,Bom Jesus da Serra,60
BA,2904001,Boninal,121
BA,2904050,Bonito,159
BA,2904100,Boquira,70
BA,2904209,Botuporã,22
BA,2904308,Brejões,56
BA,2904407,Brejolândia,29
BA,2904506,Brotas de Macaúbas,119
BA,2904605,Brumado,5851
BA,2904704,Buerarema,217
BA,2904753,Buritirama,20
BA,2904803,Caatiba,92
BA,2904852,Cabaceiras do Paraguaçu,76
BA,2904902,Cachoeira,813
BA,2905008,Caculé,815
BA,2905107,Caém,52
BA,2905156,Caetanos,74
BA,2905206,Caetité,2237
BA,2905305,Cafarnaum,111
BA,2905404,Cairu,1226
BA,2905503,Caldeirão Grande,9
BA,2905602,Camacan,569
BA,2905701,Camaçari,27974
BA,2905800,Camamu,558
BA,2905909,Campo Alegre de Lourdes,175
BA,2906006,Campo Formoso,1275
BA,2906105,Canápolis,43
BA,2906204,Canarana,110
BA,2906303,Canavieiras,452
BA,2906402,Candeal,9
BA,2906501,Candeias,4787
BA,2906600,Candiba,73
BA,2906709,Cândido Sales,150
BA,2906808,Cansanção,241
BA,2906824,Canudos,227
BA,2906857,Capela do Alto Alegre,44
BA,2906873,Capim Grosso,1339
BA,2906899,Caraíbas,36
BA,2906907,Caravelas,473
BA,2907004,Cardeal da Silva,88
BA,2907103,Carinhanha,104
BA,2907202,Casa Nova,7611
BA,2907301,Castro Alves,677
BA,2907400,Catolândia,43
BA,2907509,Catu,2530
BA,2907558,Caturama,7
BA,2907608,Central,107
BA,2907707,Chorrochó,37
BA,2907806,Cícero Dantas,432
BA,2907905,Cipó,101
BA,2908002,Coaraci,180
BA,2908101,Cocos,1202
BA,2908200,Conceição da Feira,609
BA,2908309,Conceição do Almeida,319
BA,2908408,Conceição do Coité,1794
BA,2908507,Conceição do Jacuípe,2845
BA,2908606,Conde,148
BA,2908705,Condeúba,175
BA,2908804,Contendas do Sincorá,16
BA,2908903,Coração de Maria,440
BA,2909000,Cordeiros,42
BA,2909109,Coribe,83
BA,2909208,Coronel João Sá,122
BA,2909307,Correntina,4561
BA,2909406,Cotegipe,117
BA,2909505,Cravolândia,11
