UF,COD,MUN,DESP_LEGISLATIVO
AC,1200013,Acrelândia,1319048.8
AC,1200054,Assis Brasil,949948.73
AC,1200104,Brasiléia,2679881.66
AC,1200138,Bujari,1200000
AC,1200179,Capixaba,1115412.73
AC,1200203,Cruzeiro do Sul,7119444
AC,1200252,Epitaciolândia,
AC,1200302,Feijó,
AC,1200328,Jordão,951297.75
AC,1200336,Mâncio Lima,
AC,1200344,Manoel Urbano,1169797.02
AC,1200351,Marechal Thaumaturgo,1592657.97
AC,1200385,Plácido de Castro,2252436.56
AC,1200393,Porto Walter,1094328.97
AC,1200401,Rio Branco,34376373.56
AC,1200427,Rodrigues Alves,1308070.15
AC,1200435,Santa Rosa do Purus,
AC,1200450,Senador Guiomard,2283415.54
AC,1200500,Sena Madureira,
AC,1200609,Tarauacá,2916055.26
AC,1200708,Xapuri,2066000
AC,1200807,Porto Acre,1569872.36
AL,2700102,Água Branca,2279280.34
AL,2700201,Anadia,2272964.79
AL,2700300,Arapiraca,15717852.78
AL,2700409,Atalaia,4531541.37
AL,2700508,Barra de Santo Antônio,2114621.4
AL,2700607,Barra de São Miguel,2029134.48
AL,2700706,Batalha,2294103.78
AL,2700805,Belém,932033.56
AL,2700904,Belo Monte,1313224.31
AL,2701001,Boca da Mata,3126037.78
AL,2701100,Branquinha,1582348.33
AL,2701209,Cacimbinhas,1472403.54
AL,2701308,Cajueiro,2411895.71
AL,2701357,Campestre,1108741.14
AL,2701407,Campo Alegre,4189188.11
AL,2701506,Campo Grande,
AL,2701605,Canapi,2469339.6
AL,2701704,Capela,2310865.2
AL,2701803,Carneiros,1148840.96
AL,2701902,Chã Preta,1151227.96
AL,2702009,Coité do Nóia,1238087.1
AL,2702108,Colônia Leopoldina,2285924.88
AL,2702207,Coqueiro Seco,1171009.65
AL,2702306,Coruripe,6690482.03
AL,2702355,Craíbas,3189680.18
AL,2702405,Delmiro Gouveia,4954308.59
AL,2702504,Dois Riachos,1752362.77
AL,2702553,Estrela de Alagoas,2202183.49
AL,2702603,Feira Grande,2321098.35
AL,2702702,Feliz Deserto,1512623.27
AL,2702801,Flexeiras,
AL,2702900,Girau do Ponciano,3169528.98
AL,2703007,Ibateguara,1357196.61
AL,2703106,Igaci,2673123.44
AL,2703205,Igreja Nova,3000023.48
AL,2703304,Inhapi,2369082.94
AL,2703403,Jacaré dos Homens,1207489.82
AL,2703502,Jacuípe,1166644.2
AL,2703601,Japaratinga,1490724.78
AL,2703700,Jaramataia,1154193.97
AL,2703759,Jequiá da Praia,2673839.92
AL,2703809,Joaquim Gomes,2734590.83
AL,2703908,Jundiá,1159948.86
AL,2704005,Junqueiro,2172874.92
AL,2704104,Lagoa da Canoa,2220045.72
AL,2704203,Limoeiro de Anadia,2926482.6
AL,2704302,Maceió,71541779.16
AL,2704401,Major Isidoro,1892069.95
AL,2704500,Maragogi,4996199.88
AL,2704609,Maravilha,1298107.93
AL,2704708,Marechal Deodoro,11387869.25
AL,2704807,Maribondo,1656485.71
AL,2704906,Mar Vermelho,1135479.48
AL,2705002,Mata Grande,2642199.56
AL,2705101,Matriz de Camaragibe,2089079.78
AL,2705200,Messias,2536461.07
AL,2705309,Minador do Negrão,1230076.86
AL,2705408,Monteirópolis,1157554.55
AL,2705507,Murici,3685494.12
AL,2705606,Novo Lino,1551621.62
AL,2705705,Olho d'Água das Flores,2413580.86
AL,2705804,Olho d'Água do Casado,980102
AL,2705903,Olho d'Água Grande,
AL,2706000,Olivença,1562997.6
AL,2706109,Ouro Branco,1454090.92
AL,2706208,Palestina,1057094.52
AL,2706307,Palmeira dos Índios,5825585.16
AL,2706406,Pão de Açúcar,2822714.59
AL,2706422,Pariconha,1566204.64
AL,2706448,Paripueira,2031109.78
AL,2706505,Passo de Camaragibe,
AL,2706604,Paulo Jacinto,1205804.19
AL,2706703,Penedo,5618445.61
AL,2706802,Piaçabuçu,2418139.44
AL,2706901,Pilar,9137043.76
AL,2707008,Pindoba,993897.74
AL,2707107,Piranhas,4000136.23
AL,2707206,Poço das Trincheiras,1914989.13
AL,2707305,Porto Calvo,1774118.93
AL,2707404,Porto de Pedras,1763840.95
AL,2707503,Porto Real do Colégio,2262872.71
AL,2707602,Quebrangulo,1967811.81
AL,2707701,Rio Largo,8365447.13
AL,2707800,Roteiro,1263398.28
AL,2707909,Santa Luzia do Norte,1126693.8
AL,2708006,Santana do Ipanema,4585642.89
AL,2708105,Santana do Mundaú,1770526.99
AL,2708204,São Brás,1333773.3
AL,2708303,São José da Laje,1850443.93
AL,2708402,São José da Tapera,
AL,2708501,São Luís do Quitunde,5413192
AL,2708600,São Miguel dos Campos,7063841.45
AL,2708709,São Miguel dos Milagres,1191621.9
AL,2708808,São Sebastião,3011825.56
AL,2708907,Satuba,1581936.15
AL,2708956,Senador Rui Palmeira,1810916.54
AL,2709004,Tanque d'Arca,1209016.42
AL,2709103,Taquarana,2406882
AL,2709152,Teotônio Vilela,2064372.05
AL,2709202,Traipu,2273211.54
AL,2709301,União dos Palmares,4833652.66
AL,2709400,Viçosa,2566621.23
AM,1300029,Alvarães,1865038.88
AM,1300060,Amaturá,1696341.6
AM,1300086,Anamã,1942715.3
AM,1300102,Anori,2444639.75
AM,1300144,Apuí,2594198.16
AM,1300201,Atalaia do Norte,2649305.61
AM,1300300,Autazes,3430063.73
AM,1300409,Barcelos,3131660.15
AM,1300508,Barreirinha,2866795.34
AM,1300607,Benjamin Constant,3872526.68
AM,1300631,Beruri,2387710.82
AM,1300680,Boa Vista do Ramos,1745191.91
AM,1300706,Boca do Acre,3446816.79
AM,1300805,Borba,3384965.16
AM,1300839,Caapiranga,1915213.27
AM,1300904,Canutama,2243563.51
AM,1301001,Carauari,2922623.3
AM,1301100,Careiro,3634782.05
AM,1301159,Careiro da Várzea,2843425.35
AM,1301209,Coari,11172001.16
AM,1301308,Codajás,2706415.89
AM,1301407,Eirunepé,3441492.15
AM,1301506,Envira,2377651.56
AM,1301605,Fonte Boa,2419881.49
AM,1301654,Guajará,1588916.5
AM,1301704,Humaitá,
AM,1301803,Ipixuna,2585650.87
AM,1301852,Iranduba,4171559.35
AM,1301902,Itacoatiara,8467555.51
AM,1301951,Itamarati,1591818.45
AM,1302009,Itapiranga,1449849.51
AM,1302108,Japurá,1729977.56
AM,1302207,Juruá,1953100.13
AM,1302306,Jutaí,2130128.48
AM,1302405,Lábrea,3509584.7
AM,1302504,Manacapuru,7058830.85
AM,1302553,Manaquiri,2786105.55
AM,1302603,Manaus,202213628.09
AM,1302702,Manicoré,4648115.65
AM,1302801,Maraã,2389011.79
AM,1302900,Maués,5692961.27
AM,1303007,Nhamundá,
AM,1303106,Nova Olinda do Norte,3154073.67
AM,1303205,Novo Airão,2520601.89
AM,1303304,Novo Aripuanã,2694051.04
AM,1303403,Parintins,7039644.5
AM,1303502,Pauini,2824
AM,1303536,Presidente Figueiredo,12605860.15
AM,1303569,Rio Preto da Eva,6322973.24
AM,1303601,Santa Isabel do Rio Negro,2688251.02
AM,1303700,Santo Antônio do Içá,2724553.63
AM,1303809,São Gabriel da Cachoeira,4082577.22
AM,1303908,São Paulo de Olivença,3280639.41
AM,1303957,São Sebastião do Uatumã,2002717.8
AM,1304005,Silves,1686780.83
AM,1304062,Tabatinga,
AM,1304104,Tapauá,3273251.1
AM,1304203,Tefé,5838543.55
AM,1304237,Tonantins,2230084.26
AM,1304260,Uarini,1978600.2
AM,1304302,Urucará,2605989.08
AM,1304401,Urucurituba,2620867.01
AP,1600055,Serra do Navio,870958.05
AP,1600105,Amapá,705038.65
AP,1600154,Pedra Branca do Amaparí,4574608.72
AP,1600204,Calçoene,
AP,1600212,Cutias,
AP,1600238,Ferreira Gomes,2606903.63
AP,1600253,Itaubal,
AP,1600279,Laranjal do Jari,3454461.42
AP,1600303,Macapá,22600829.4
AP,1600402,Mazagão,1966508.97
AP,1600501,Oiapoque,2081736.49
AP,1600535,Porto Grande,1338474.89
AP,1600550,Pracuúba,688309.21
AP,1600600,Santana,6384150.78
AP,1600709,Tartarugalzinho,
AP,1600808,Vitória do Jari,1515322.59
BA,2900108,Abaíra,1158968.92
BA,2900207,Abaré,2310796.97
BA,2900306,Acajutiba,1748466.18
BA,2900355,Adustina,2212676.24
BA,2900405,Água Fria,2206218.56
BA,2900504,Érico Cardoso,1326854.28
BA,2900603,Aiquara,1095690.33
BA,2900702,Alagoinhas,17265320.06
BA,2900801,Alcobaça,2856859.83
BA,2900900,Almadina,1142185.19
BA,2901007,Amargosa,3756990.39
BA,2901106,Amélia Rodrigues,3054403.73
BA,2901155,América Dourada,1866967.38
BA,2901205,Anagé,2251368.01
BA,2901304,Andaraí,1495547.47
BA,2901353,Andorinha,1071675.41
BA,2901403,Angical,1999681.77
BA,2901502,Anguera,1469907.85
BA,2901601,Antas,2206863.18
BA,2901700,Antônio Cardoso,1543584.84
BA,2901809,Antônio Gonçalves,1469599.14
BA,2901908,Aporá,2165466.65
BA,2901957,Apuarema,1136575.99
BA,2902005,Aracatu,1794887
BA,2902054,Araças,2235485.87
BA,2902104,Araci,4279883.48
BA,2902203,Aramari,1753099.85
BA,2902252,Arataca,1447393.99
BA,2902302,Aratuípe,1059028.14
BA,2902401,Aurelino Leal,1496355.57
BA,2902500,Baianópolis,2408327.28
BA,2902609,Baixa Grande,2364711.92
BA,2902658,Banzaê,1778070.5
BA,2902708,Barra,4978088.14
BA,2902807,Barra da Estiva,2234254.15
BA,2902906,Barra do Choça,
BA,2903003,Barra do Mendes,1970481.56
BA,2903102,Barra do Rocha,1154752.38
BA,2903201,Barreiras,20145606.35
BA,2903235,Barro Alto,1766213.63
BA,2903276,Barrocas,2640437.1
BA,2903300,Governador Lomanto Júnior,1211609.81
BA,2903409,Belmonte,3011111.7
BA,2903508,Belo Campo,2119173.75
BA,2903607,Biritinga,1858059.92
BA,2903706,Boa Nova,1753568.92
BA,2903805,Boa Vista do Tupim,2279306.51
BA,2903904,Bom Jesus da Lapa,6501316.17
BA,2903953,Bom Jesus da Serra,1420369.73
BA,2904001,Boninal,1708904.33
BA,2904050,Bonito,2419567.37
BA,2904100,Boquira,2086405.57
BA,2904209,Botuporã,1510341.07
BA,2904308,Brejões,1942297.02
BA,2904407,Brejolândia,1593848.75
BA,2904506,Brotas de Macaúbas,1535359.27
BA,2904605,Brumado,7390040.49
BA,2904704,Buerarema,3500759.65
BA,2904753,Buritirama,2483208.39
BA,2904803,Caatiba,
BA,2904852,Cabaceiras do Paraguaçu,2208475.33
BA,2904902,Cachoeira,3447400.09
BA,2905008,Caculé,2609824.98
BA,2905107,Caém,1222004.17
BA,2905156,Caetanos,1803729.23
BA,2905206,Caetité,5279222.1
BA,2905305,Cafarnaum,2732914.83
BA,2905404,Cairu,5789988.17
BA,2905503,Caldeirão Grande,3176495.85
BA,2905602,Camacan,3015875.49
BA,2905701,Camaçari,67691477.6
BA,2905800,Camamu,3237876.84
BA,2905909,Campo Alegre de Lourdes,
BA,2906006,Campo Formoso,8693559
BA,2906105,Canápolis,1142154.89
BA,2906204,Canarana,2651579.26
BA,2906303,Canavieiras,3379637.52
BA,2906402,Candeal,1132558.55
BA,2906501,Candeias,23397991.33
BA,2906600,Candiba,1616816.36
BA,2906709,Cândido Sales,2877533.92
BA,2906808,Cansanção,3176379.15
BA,2906824,Canudos,2529762.92
BA,2906857,Capela do Alto Alegre,1535378.42
BA,2906873,Capim Grosso,3139329.5
BA,2906899,Caraíbas,1198747.6
BA,2906907,Caravelas,3162515.73
BA,2907004,Cardeal da Silva,
BA,2907103,Carinhanha,2811915.54
BA,2907202,Casa Nova,6538217.05
BA,2907301,Castro Alves,2717874.03
BA,2907400,Catolândia,1150976.65
BA,2907509,Catu,6441479.15
BA,2907558,Caturama,1160273.23
BA,2907608,Central,2222047.45
BA,2907707,Chorrochó,1728983.09
BA,2907806,Cícero Dantas,3253457.87
BA,2907905,Cipó,2228326.83
BA,2908002,Coaraci,2335775.38
BA,2908101,Cocos,3098143.35
BA,2908200,Conceição da Feira,2497270.63
BA,2908309,Conceição do Almeida,1741735.42
BA,2908408,Conceição do Coité,5405321.78
BA,2908507,Conceição do Jacuípe,5669161.8
BA,2908606,Conde,3239394
BA,2908705,Condeúba,2107651.78
BA,2908804,Contendas do Sincorá,1166371.53
BA,2908903,Coração de Maria,2747184.86
BA,2909000,Cordeiros,971888.41
BA,2909109,Coribe,1699633.59
BA,2909208,Coronel João Sá,2273419.44
BA,2909307,Correntina,9720321.04
BA,2909406,Cotegipe,2057981.55
BA,2909505,Cravolândia,1107024.17
BA,2909604,Crisópolis,2309453.07
BA,2909703,Cristópolis,1905283.6
BA,2909802,Cruz das Almas,5790117.24
BA,2909901,Curaçá,3876820.97
BA,2910008,Dário Meira,1539960.24
BA,2910057,Dias d'Ávila,9577716.13
BA,2910107,Dom Basílio,1627297.4
BA,2910206,Dom Macedo Costa,1011430.84
BA,2910305,Elísio Medrado,1027557.9
BA,2910404,Encruzilhada,2289326.7
BA,2910503,Entre Rios,4496006.97
BA,2910602,Esplanada,4691174.34
BA,2910701,Euclides da Cunha,5503986.11
BA,2910727,Eunápolis,11064552.89
BA,2910750,Fátima,2186210.76
BA,2910776,Feira da Mata,1142193.78
BA,2910800,Feira de Santana,33776184.3
BA,2910859,Filadélfia,2235310.32
BA,2910909,Firmino Alves,1076741.06
BA,2911006,Floresta Azul,1488256.85
BA,2911105,Formosa do Rio Preto,10499494.79
BA,2911204,Gandu,3307575.35
BA,2911253,Gavião,1088157.92
BA,2911303,Gentio do Ouro,2027909.15
BA,2911402,Glória,1998155.38
BA,2911501,Gongogi,1063492.76
BA,2911600,Governador Mangabeira,2403988.69
BA,2911659,Guajeru,1211181.01
BA,2911709,Guanambi,9022918.06
BA,2911808,Guaratinga,2573402.87
BA,2911857,Heliópolis,1782463.85
BA,2911907,Iaçu,2646061.37
BA,2912004,Ibiassucê,1334048.84
BA,2912103,Ibicaraí,2193456.47
BA,2912202,Ibicoara,2863217.24
BA,2912301,Ibicuí,1929161.64
BA,2912400,Ibipeba,2164959.48
BA,2912509,Ibipitanga,1850592.13
BA,2912608,Ibiquera,1079229.69
BA,2912707,Ibirapitanga,2564518.9
BA,2912806,Ibirapuã,1524358
BA,2912905,Ibirataia,2261660.37
BA,2913002,Ibitiara,1880322.08
BA,2913101,Ibititá,2180605.39
BA,2913200,Ibotirama,2928596.08
BA,2913309,Ichu,1103319.08
BA,2913408,Igaporã,2235561.48
BA,2913457,Igrapiúna,1854478.69
BA,2913507,Iguaí,2560771.45
BA,2913606,Ilhéus,19502845.92
BA,2913705,Inhambupe,3888882.7
BA,2913804,Ipecaetá,1762287.17
BA,2913903,Ipiaú,4531806.27
BA,2914000,Ipirá,5358724.54
BA,2914109,Ipupiara,1232904.18
BA,2914208,Irajuba,1188109.66
BA,2914307,Iramaia,1186906.29
BA,2914406,Iraquara,3084100.42
BA,2914505,Irará,2853982.24
BA,2914604,Irecê,6580420.14
BA,2914653,Itabela,3384875.8
BA,2914703,Itaberaba,5902600.6
BA,2914802,Itabuna,19049869.57
BA,2914901,Itacaré,3255657.46
BA,2915007,Itaeté,1848322.19
BA,2915106,Itagi,1583328.11
BA,2915205,Itagibá,3310043.96
BA,2915304,Itagimirim,1338768.96
BA,2915353,Itaguaçu da Bahia,2399960.63
BA,2915403,Itaju do Colônia,1200982.73
BA,2915502,Itajuípe,2408511.96
BA,2915601,Itamaraju,5154881.74
BA,2915700,Itamari,1200029.52
BA,2915809,Itambé,
BA,2915908,Itanagra,1272890.62
BA,2916005,Itanhém,1874057.76
BA,2916104,Itaparica,2607487.76
BA,2916203,Itapé,1187892.99
BA,2916302,Itapebi,2009686.41
BA,2916401,Itapetinga,6731430.31
BA,2916500,Itapicuru,3137102.38
BA,2916609,Itapitanga,1452298.2
BA,2916708,Itaquara,1112557.3
BA,2916807,Itarantim,2655357.65
BA,2916856,Itatim,1858354.36
BA,2916906,Itiruçu,1397229.22
BA,2917003,Itiúba,3224228.21
BA,2917102,Itororó,2157144.98
BA,2917201,Ituaçu,1187844.22
BA,2917300,Ituberá,2823825.35
BA,2917334,Iuiú,1557101.8
BA,2917359,Jaborandi,3517341.69
BA,2917409,Jacaraci,1741940.2
BA,2917508,Jacobina,9420370.12
BA,2917607,Jaguaquara,4651350.48
BA,2917706,Jaguarari,3189220.96
BA,2917805,Jaguaripe,2449831.25
BA,2917904,Jandaíra,1642193.84
BA,2918001,Jequié,17023283.97
BA,2918100,Jeremoabo,3947621.06
BA,2918209,Jiquiriçá,1865789.52
BA,2918308,Jitaúna,1658716.9
BA,2918357,João Dourado,2538840.74
BA,2918407,Juazeiro,19145545.7
BA,2918456,Jucuruçu,1324250.71
BA,2918506,Jussara,1903682.04
BA,2918555,Jussari,1112469.55
BA,2918605,Jussiape,1159339.96
BA,2918704,Lafaiete Coutinho,1044263.44
BA,2918753,Lagoa Real,1750494.53
BA,2918803,Laje,2440442.42
BA,2918902,Lajedão,1237918.92
BA,2919009,Lajedinho,1127611.96
BA,2919058,Lajedo do Tabocal,1114099.04
BA,2919108,Lamarão,1110315.94
BA,2919157,Lapão,2784661.02
BA,2919207,Lauro de Freitas,31409659.09
BA,2919306,Lençóis,1774257.33
BA,2919405,Licínio de Almeida,1657952.28
BA,2919504,Livramento de Nossa Senhora,4418068.94
BA,2919553,Luís Eduardo Magalhães,24561225.02
BA,2919603,Macajuba,1259833.21
BA,2919702,Macarani,2002859.36
BA,2919801,Macaúbas,3522089.38
BA,2919900,Macururé,1252842.45
BA,2919926,Madre de Deus,8200872.61
BA,2919959,Maetinga,1076569.64
BA,2920007,Maiquinique,1484453.97
BA,2920106,Mairi,2246908.09
BA,2920205,Malhada,2092855.25
BA,2920304,Malhada de Pedras,1131880.71
BA,2920403,Manoel Vitorino,1997095.45
BA,2920452,Mansidão,1958161.66
BA,2920502,Maracás,4620955.63
BA,2920601,Maragogipe,4005972.75
BA,2920700,Maraú,2540509.11
BA,2920809,Marcionílio Souza,1557308.53
BA,2920908,Mascote,1959123.28
BA,2921005,Mata de São João,12985894.65
BA,2921054,Matina,1469154.85
BA,2921104,Medeiros Neto,2674114.59
BA,2921203,Miguel Calmon,2287980.39
BA,2921302,Milagres,1347621.89
BA,2921401,Mirangaba,2105244.54
BA,2921450,Mirante,1218633.5
BA,2921500,Monte Santo,4343799.37
BA,2921609,Morpará,1277582.06
BA,2921708,Morro do Chapéu,6314902.36
BA,2921807,Mortugaba,1425400.74
BA,2921906,Mucugê,2007058.37
BA,2922003,Mucuri,11461668.2
BA,2922052,Mulungu do Morro,2510121.46
BA,2922102,Mundo Novo,2717155.98
BA,2922201,Muniz Ferreira,967946.82
BA,2922250,Muquém de São Francisco,1907955.65
BA,2922300,Muritiba,3083075.47
BA,2922409,Mutuípe,2328028.11
BA,2922508,Nazaré,3102779.86
BA,2922607,Nilo Peçanha,1887373.84
BA,2922656,Nordestina,1858562.91
BA,2922706,Nova Canaã,2157456.33
BA,2922730,Nova Fátima,1045984.03
BA,2922755,Nova Ibiá,1202213.11
BA,2922805,Nova Itarana,1160855.26
BA,2922854,Nova Redenção,1109748.77
BA,2922904,Nova Soure,2799650.76
BA,2923001,Nova Viçosa,
BA,2923035,Novo Horizonte,1341251.1
BA,2923050,Novo Triunfo,1780737.4
BA,2923100,Olindina,2651686.49
BA,2923209,Oliveira dos Brejinhos,2002864.91
BA,2923308,Ouriçangas,1117662.94
BA,2923357,Ourolândia,2731008.45
BA,2923407,Palmas de Monte Alto,2496101.46
BA,2923506,Palmeiras,1361260.49
BA,2923605,Paramirim,1836464.37
BA,2923704,Paratinga,3044263.53
BA,2923803,Paripiranga,2807634.29
BA,2923902,Pau Brasil,1466643.11
BA,2924009,Paulo Afonso,14577917.48
BA,2924058,Pé de Serra,1859738.7
BA,2924108,Pedrão,1088435.47
BA,2924207,Pedro Alexandre,
BA,2924306,Piatã,2255564.77
BA,2924405,Pilão Arcado,3873585.58
BA,2924504,Pindaí,2131199.14
BA,2924603,Pindobaçu,2238826.64
BA,2924652,Pintadas,1511085.86
BA,2924678,Piraí do Norte,
BA,2924702,Piripá,1375844.61
BA,2924801,Piritiba,2432463.43
BA,2924900,Planaltino,1125141.72
BA,2925006,Planalto,2715108.11
BA,2925105,Poções,
BA,2925204,Pojuca,8735305.05
BA,2925253,Ponto Novo,1795961.64
BA,2925303,Porto Seguro,14300221.18
BA,2925402,Potiraguá,1264399.33
BA,2925501,Prado,2543698.3
BA,2925600,Presidente Dutra,1668120.06
BA,2925709,Presidente Jânio Quadros,1507505.63
BA,2925758,Presidente Tancredo Neves,2890523.86
BA,2925808,Queimadas,2829331.35
BA,2925907,Quijingue,2491435.08
BA,2925931,Quixabeira,1127724.02
BA,2925956,Rafael Jambeiro,2329769.68
BA,2926004,Remanso,3532572.17
BA,2926103,Retirolândia,1818440.17
BA,2926202,Riachão das Neves,5225400.37
BA,2926301,Riachão do Jacuípe,3318138.91
BA,2926400,Riacho de Santana,3266888.38
BA,2926509,Ribeira do Amparo,1796848.87
BA,2926608,Ribeira do Pombal,4787267.76
BA,2926657,Ribeirão do Largo,1204303.75
BA,2926707,Rio de Contas,1697264.74
BA,2926806,Rio do Antônio,1813141.97
BA,2926905,Rio do Pires,1439031.47
BA,2927002,Rio Real,4004900.37
BA,2927101,Rodelas,1706929.86
BA,2927200,Ruy Barbosa,3108898.37
BA,2927309,Salinas da Margarida,1922239.06
BA,2927408,Salvador,220577454.77
BA,2927507,Santa Bárbara,2106173.28
BA,2927606,Santa Brígida,1860094.63
BA,2927705,Santa Cruz Cabrália,4217050.32
BA,2927804,Santa Cruz da Vitória,1097404.87
BA,2927903,Santa Inês,1465267.68
BA,2928000,Santaluz,3763249.74
BA,2928059,Santa Luzia,1501833.27
BA,2928109,Santa Maria da Vitória,3674906.21
BA,2928208,Santana,2629914.58
BA,2928307,Santanópolis,1142164.5
BA,2928406,Santa Rita de Cássia,3162659.82
BA,2928505,Santa Teresinha,1554279.69
