UF,COD,MUN,DESP_SAUDE_SANEAMENTO
AC,1200013,Acrelândia,11052826.28
AC,1200054,Assis Brasil,6357217.92
AC,1200104,Brasiléia,20840155.96
AC,1200138,Bujari,6536490.22
AC,1200179,Capixaba,8554512.18
AC,1200203,Cruzeiro do Sul,76473613.87
AC,1200252,Epitaciolândia,16751603.83
AC,1200302,Feijó,18564171.74
AC,1200328,Jordão,6339853.09
AC,1200336,Mâncio Lima,13715650.25
AC,1200344,Manoel Urbano,7355119.96
AC,1200351,Marechal Thaumaturgo,10565732.39
AC,1200385,Plácido de Castro,14039884.62
AC,1200393,Porto Walter,9792636.36
AC,1200401,Rio Branco,312202024.77
AC,1200427,Rodrigues Alves,14308671.06
AC,1200435,Santa Rosa do Purus,5937457.09
AC,1200450,Senador Guiomard,17894803.08
AC,1200500,Sena Madureira,35190588.91
AC,1200609,Tarauacá,24729029.03
AC,1200708,Xapuri,13779418.48
AC,1200807,Porto Acre,11468171.91
AL,2700102,Água Branca,23485907.93
AL,2700201,Anadia,18374347.25
AL,2700300,Arapiraca,220987583.27
AL,2700409,Atalaia,44647194.12
AL,2700508,Barra de Santo Antônio,18770810.4
AL,2700607,Barra de São Miguel,12048969.54
AL,2700706,Batalha,25237544.37
AL,2700805,Belém,8348213.34
AL,2700904,Belo Monte,7660296.75
AL,2701001,Boca da Mata,29488325.82
AL,2701100,Branquinha,14540008.68
AL,2701209,Cacimbinhas,15904189.1
AL,2701308,Cajueiro,29192627.83
AL,2701357,Campestre,8381707.97
AL,2701407,Campo Alegre,43444503.22
AL,2701506,Campo Grande,
AL,2701605,Canapi,17254401.68
AL,2701704,Capela,22384494.7
AL,2701803,Carneiros,10156534.87
AL,2701902,Chã Preta,8321168.1
AL,2702009,Coité do Nóia,12316380.64
AL,2702108,Colônia Leopoldina,21277425.4
AL,2702207,Coqueiro Seco,10024801.46
AL,2702306,Coruripe,81804581.74
AL,2702355,Craíbas,23661774.06
AL,2702405,Delmiro Gouveia,53201127.9
AL,2702504,Dois Riachos,13353278.52
AL,2702553,Estrela de Alagoas,14915349.4
AL,2702603,Feira Grande,21091730.04
AL,2702702,Feliz Deserto,7452058.12
AL,2702801,Flexeiras,12918232.78
AL,2702900,Girau do Ponciano,26910147.95
AL,2703007,Ibateguara,16379413.83
AL,2703106,Igaci,25355015.5
AL,2703205,Igreja Nova,27053816.36
AL,2703304,Inhapi,17574244.49
AL,2703403,Jacaré dos Homens,7720127.42
AL,2703502,Jacuípe,8136269.48
AL,2703601,Japaratinga,9419012.99
AL,2703700,Jaramataia,8592821.19
AL,2703759,Jequiá da Praia,16787440.02
AL,2703809,Joaquim Gomes,27816396.77
AL,2703908,Jundiá,8798795.89
AL,2704005,Junqueiro,39122715.31
AL,2704104,Lagoa da Canoa,17723138.35
AL,2704203,Limoeiro de Anadia,31639433.34
AL,2704302,Maceió,1118028549.35
AL,2704401,Major Isidoro,23575040.35
AL,2704500,Maragogi,39428782.03
AL,2704609,Maravilha,10921571.37
AL,2704708,Marechal Deodoro,67289540.96
AL,2704807,Maribondo,15981092.15
AL,2704906,Mar Vermelho,7672228.58
AL,2705002,Mata Grande,21283650.58
AL,2705101,Matriz de Camaragibe,29771805.79
AL,2705200,Messias,20658213.57
AL,2705309,Minador do Negrão,9200855.59
AL,2705408,Monteirópolis,8977817.71
AL,2705507,Murici,42294797.19
AL,2705606,Novo Lino,12229425.31
AL,2705705,Olho d'Água das Flores,21502485.51
AL,2705804,Olho d'Água do Casado,10052978.85
AL,2705903,Olho d'Água Grande,
AL,2706000,Olivença,11597967.95
AL,2706109,Ouro Branco,12135386.21
AL,2706208,Palestina,8519150.5
AL,2706307,Palmeira dos Índios,108636555.97
AL,2706406,Pão de Açúcar,28908370.03
AL,2706422,Pariconha,10940065.92
AL,2706448,Paripueira,14971160.51
AL,2706505,Passo de Camaragibe,15189235.36
AL,2706604,Paulo Jacinto,12004706.4
AL,2706703,Penedo,92819410.48
AL,2706802,Piaçabuçu,29582964.98
AL,2706901,Pilar,92993024.67
AL,2707008,Pindoba,6654386.63
AL,2707107,Piranhas,26455345.56
AL,2707206,Poço das Trincheiras,15320766.63
AL,2707305,Porto Calvo,32551206.37
AL,2707404,Porto de Pedras,15655815.87
