UF,COD,MUN,EXPORTACAO
AC,1200013,Acrelândia,
AC,1200054,Assis Brasil,148903
AC,1200104,Brasiléia,9310397
AC,1200138,Bujari,
AC,1200179,Capixaba,
AC,1200203,Cruzeiro do Sul,16217
AC,1200252,Epitaciolândia,9863347
AC,1200302,Feijó,
AC,1200328,Jordão,
AC,1200336,Mâncio Lima,
AC,1200344,Manoel Urbano,3698635
AC,1200351,Marechal Thaumaturgo,
AC,1200385,Plácido de Castro,
AC,1200393,Porto Walter,
AC,1200401,Rio Branco,12330235
AC,1200427,Rodrigues Alves,
AC,1200435,Santa Rosa do Purus,
AC,1200450,Senador Guiomard,3340
AC,1200500,Sena Madureira,956698
AC,1200609,Tarauacá,1043168
AC,1200708,Xapuri,3112392
AC,1200807,Porto Acre,
AL,2700102,Água Branca,
AL,2700201,Anadia,
AL,2700300,Arapiraca,443354
AL,2700409,Atalaia,23081678
AL,2700508,Barra de Santo Antônio,
AL,2700607,Barra de São Miguel,
AL,2700706,Batalha,
AL,2700805,Belém,
AL,2700904,Belo Monte,
AL,2701001,Boca da Mata,
AL,2701100,Branquinha,
AL,2701209,Cacimbinhas,
AL,2701308,Cajueiro,
AL,2701357,Campestre,14645038
AL,2701407,Campo Alegre,42346696
AL,2701506,Campo Grande,526872956
AL,2701605,Canapi,
AL,2701704,Capela,
AL,2701803,Carneiros,
AL,2701902,Chã Preta,
AL,2702009,Coité do Nóia,
AL,2702108,Colônia Leopoldina,
AL,2702207,Coqueiro Seco,
AL,2702306,Coruripe,75784701
AL,2702355,Craíbas,133968739
AL,2702405,Delmiro Gouveia,
AL,2702504,Dois Riachos,
AL,2702553,Estrela de Alagoas,
AL,2702603,Feira Grande,
AL,2702702,Feliz Deserto,
AL,2702801,Flexeiras,
AL,2702900,Girau do Ponciano,
AL,2703007,Ibateguara,
AL,2703106,Igaci,
AL,2703205,Igreja Nova,18762601
AL,2703304,Inhapi,
AL,2703403,Jacaré dos Homens,
AL,2703502,Jacuípe,
AL,2703601,Japaratinga,115524
AL,2703700,Jaramataia,
AL,2703759,Jequiá da Praia,
AL,2703809,Joaquim Gomes,
AL,2703908,Jundiá,
AL,2704005,Junqueiro,
AL,2704104,Lagoa da Canoa,2270686
AL,2704203,Limoeiro de Anadia,
AL,2704302,Maceió,26699383
AL,2704401,Major Isidoro,
AL,2704500,Maragogi,
AL,2704609,Maravilha,5121504
AL,2704708,Marechal Deodoro,8210846
AL,2704807,Maribondo,
AL,2704906,Mar Vermelho,
AL,2705002,Mata Grande,
AL,2705101,Matriz de Camaragibe,
AL,2705200,Messias,
AL,2705309,Minador do Negrão,
AL,2705408,Monteirópolis,
AL,2705507,Murici,70403
AL,2705606,Novo Lino,
AL,2705705,Olho d'Água das Flores,
AL,2705804,Olho d'Água do Casado,
AL,2705903,Olho d'Água Grande,
AL,2706000,Olivença,
AL,2706109,Ouro Branco,
AL,2706208,Palestina,
AL,2706307,Palmeira dos Índios,
AL,2706406,Pão de Açúcar,
AL,2706422,Pariconha,
AL,2706448,Paripueira,
AL,2706505,Passo de Camaragibe,
AL,2706604,Paulo Jacinto,
AL,2706703,Penedo,
AL,2706802,Piaçabuçu,
