UF,COD,MUN,GINI
AC,1200013,Acrelândia,0.54
AC,1200054,Assis Brasil,0.61
AC,1200104,Brasiléia,0.58
AC,1200138,Bujari,0.58
AC,1200179,Capixaba,0.56
AC,1200203,Cruzeiro do Sul,0.64
AC,1200252,Epitaciolândia,0.6
AC,1200302,Feijó,0.68
AC,1200328,Jordão,0.71
AC,1200336,Mâncio Lima,0.61
AC,1200344,Manoel Urbano,0.59
AC,1200351,Marechal Thaumaturgo,0.59
AC,1200385,Plácido de Castro,0.55
AC,1200393,Porto Walter,0.61
AC,1200401,Rio Branco,0.59
AC,1200427,Rodrigues Alves,0.63
AC,1200435,Santa Rosa do Purus,0.78
AC,1200450,Senador Guiomard,0.55
AC,1200500,Sena Madureira,0.54
AC,1200609,Tarauacá,0.65
AC,1200708,Xapuri,0.58
AC,1200807,Porto Acre,0.6
AL,2700102,Água Branca,0.56
AL,2700201,Anadia,0.53
AL,2700300,Arapiraca,0.55
AL,2700409,Atalaia,0.5
AL,2700508,Barra de Santo Antônio,0.52
AL,2700607,Barra de São Miguel,0.55
AL,2700706,Batalha,0.49
AL,2700805,Belém,0.56
AL,2700904,Belo Monte,0.65
AL,2701001,Boca da Mata,0.51
AL,2701100,Branquinha,0.42
AL,2701209,Cacimbinhas,0.6
AL,2701308,Cajueiro,0.49
AL,2701357,Campestre,0.47
AL,2701407,Campo Alegre,0.47
AL,2701506,Campo Grande,0.58
AL,2701605,Canapi,0.6
AL,2701704,Capela,0.49
AL,2701803,Carneiros,0.54
AL,2701902,Chã Preta,0.5
AL,2702009,Coité do Nóia,0.52
AL,2702108,Colônia Leopoldina,0.53
AL,2702207,Coqueiro Seco,0.49
AL,2702306,Coruripe,0.52
AL,2702355,Craíbas,0.53
AL,2702405,Delmiro Gouveia,0.52
AL,2702504,Dois Riachos,0.55
AL,2702553,Estrela de Alagoas,0.51
AL,2702603,Feira Grande,0.53
AL,2702702,Feliz Deserto,0.49
AL,2702801,Flexeiras,0.47
AL,2702900,Girau do Ponciano,0.58
AL,2703007,Ibateguara,0.53
AL,2703106,Igaci,0.57
AL,2703205,Igreja Nova,0.65
AL,2703304,Inhapi,0.67
AL,2703403,Jacaré dos Homens,0.49
