UF,COD,MUNICIPIO,RECEITA_IPTU
AC,1200013,Acrelândia,206955.77
AC,1200054,Assis Brasil,
AC,1200104,Brasiléia,225854.86
AC,1200138,Bujari,60391.3
AC,1200179,Capixaba,98683.28
AC,1200203,Cruzeiro do Sul,4005172.5
AC,1200252,Epitaciolândia,1436431.43
AC,1200302,Feijó,
AC,1200328,Jordão,
AC,1200336,Mâncio Lima,9501.42
AC,1200344,Manoel Urbano,
AC,1200351,Marechal Thaumaturgo,16549.87
AC,1200385,Plácido de Castro,154803.77
AC,1200393,Porto Walter,35161.89
AC,1200401,Rio Branco,54753865.19
AC,1200427,Rodrigues Alves,70141.36
AC,1200435,Santa Rosa do Purus,
AC,1200450,Senador Guiomard,524762.73
AC,1200500,Sena Madureira,859697.43
AC,1200609,Tarauacá,233690.27
AC,1200708,Xapuri,
AC,1200807,Porto Acre,48160.85
AL,2700102,Água Branca,61536.08
AL,2700201,Anadia,42178.82
AL,2700300,Arapiraca,27688196.7
AL,2700409,Atalaia,131250.17
AL,2700508,Barra de Santo Antônio,114915.03
AL,2700607,Barra de São Miguel,10311405.98
AL,2700706,Batalha,348036.83
AL,2700805,Belém,
AL,2700904,Belo Monte,29443.67
AL,2701001,Boca da Mata,30307.15
AL,2701100,Branquinha,1842.63
AL,2701209,Cacimbinhas,2429.02
AL,2701308,Cajueiro,79115.88
AL,2701357,Campestre,53.54
AL,2701407,Campo Alegre,908032.39
AL,2701506,Campo Grande,
AL,2701605,Canapi,174837.8
AL,2701704,Capela,191370.6
AL,2701803,Carneiros,14413.33
AL,2701902,Chã Preta,4894.72
AL,2702009,Coité do Nóia,5056.72
AL,2702108,Colônia Leopoldina,
AL,2702207,Coqueiro Seco,190975.75
AL,2702306,Coruripe,1540158.16
AL,2702355,Craíbas,5719.17
AL,2702405,Delmiro Gouveia,1153690.88
AL,2702504,Dois Riachos,6308.66
AL,2702553,Estrela de Alagoas,61412.97
AL,2702603,Feira Grande,960.94
AL,2702702,Feliz Deserto,8962.97
AL,2702801,Flexeiras,65263.83
AL,2702900,Girau do Ponciano,208982.72
AL,2703007,Ibateguara,175369.9
AL,2703106,Igaci,12042.59
AL,2703205,Igreja Nova,8745.83
AL,2703304,Inhapi,39680.42
AL,2703403,Jacaré dos Homens,16907.65
AL,2703502,Jacuípe,
AL,2703601,Japaratinga,465078.19
AL,2703700,Jaramataia,57.42
AL,2703759,Jequiá da Praia,143526.01
AL,2703809,Joaquim Gomes,141482.61
AL,2703908,Jundiá,6044.81
AL,2704005,Junqueiro,209855.01
AL,2704104,Lagoa da Canoa,13740.76
AL,2704203,Limoeiro de Anadia,266.42
AL,2704302,Maceió,202072171.05
AL,2704401,Major Isidoro,31409.2
AL,2704500,Maragogi,8950428.9
AL,2704609,Maravilha,30887.3
AL,2704708,Marechal Deodoro,16350490.67
AL,2704807,Maribondo,36115.2
AL,2704906,Mar Vermelho,116256.85
AL,2705002,Mata Grande,2601.84
AL,2705101,Matriz de Camaragibe,169849.75
AL,2705200,Messias,44133.56
AL,2705309,Minador do Negrão,21405.89
AL,2705408,Monteirópolis,21868.07
AL,2705507,Murici,89889.07
AL,2705606,Novo Lino,17000.94
AL,2705705,Olho d'Água das Flores,261771.87
AL,2705804,Olho d'Água do Casado,6856.94
AL,2705903,Olho d'Água Grande,
AL,2706000,Olivença,52197.07
AL,2706109,Ouro Branco,28475.66
AL,2706208,Palestina,11543.69
AL,2706307,Palmeira dos Índios,1124765.63
AL,2706406,Pão de Açúcar,
AL,2706422,Pariconha,10947.75
AL,2706448,Paripueira,
AL,2706505,Passo de Camaragibe,801911.8
AL,2706604,Paulo Jacinto,16161.78
AL,2706703,Penedo,810362.26
AL,2706802,Piaçabuçu,1036836.41
AL,2706901,Pilar,27302.66
AL,2707008,Pindoba,12007.21
AL,2707107,Piranhas,212972.83
AL,2707206,Poço das Trincheiras,319.45
AL,2707305,Porto Calvo,
AL,2707404,Porto de Pedras,602821.68
AL,2707503,Porto Real do Colégio,
AL,2707602,Quebrangulo,35677.8
AL,2707701,Rio Largo,4146825.29
AL,2707800,Roteiro,13832.57
AL,2707909,Santa Luzia do Norte,168863.48
AL,2708006,Santana do Ipanema,417827.68
AL,2708105,Santana do Mundaú,16726.61
AL,2708204,São Brás,
AL,2708303,São José da Laje,38267.59
AL,2708402,São José da Tapera,193965.16
AL,2708501,São Luís do Quitunde,14807.85
AL,2708600,São Miguel dos Campos,1444446.49
AL,2708709,São Miguel dos Milagres,659190.9
AL,2708808,São Sebastião,
AL,2708907,Satuba,522440.11
AL,2708956,Senador Rui Palmeira,84593.11
AL,2709004,Tanque d'Arca,3208.07
AL,2709103,Taquarana,88518.47
AL,2709152,Teotônio Vilela,1472644.83
AL,2709202,Traipu,
AL,2709301,União dos Palmares,689963.06
AL,2709400,Viçosa,
AM,1300029,Alvarães,9964.88
AM,1300060,Amaturá,2560.22
AM,1300086,Anamã,50
AM,1300102,Anori,1732.88
AM,1300144,Apuí,35966.81
AM,1300201,Atalaia do Norte,
AM,1300300,Autazes,2056.9
AM,1300409,Barcelos,
AM,1300508,Barreirinha,11996.8
AM,1300607,Benjamin Constant,86762.13
AM,1300631,Beruri,
AM,1300680,Boa Vista do Ramos,8512.5
AM,1300706,Boca do Acre,
AM,1300805,Borba,
AM,1300839,Caapiranga,5941.99
AM,1300904,Canutama,6519.35
AM,1301001,Carauari,25184.15
AM,1301100,Careiro,31173.77
AM,1301159,Careiro da Várzea,
AM,1301209,Coari,248164.91
AM,1301308,Codajás,6136.71
AM,1301407,Eirunepé,12358.19
AM,1301506,Envira,437.05
AM,1301605,Fonte Boa,6475
AM,1301654,Guajará,338.4
AM,1301704,Humaitá,180840.03
AM,1301803,Ipixuna,12564.11
AM,1301852,Iranduba,2311520.47
AM,1301902,Itacoatiara,663532.12
AM,1301951,Itamarati,11345.1
AM,1302009,Itapiranga,41011.42
AM,1302108,Japurá,20028.84
AM,1302207,Juruá,602.21
AM,1302306,Jutaí,
AM,1302405,Lábrea,66080.72
AM,1302504,Manacapuru,61283.49
AM,1302553,Manaquiri,46237.44
AM,1302603,Manaus,337291960.4
AM,1302702,Manicoré,99763.87
AM,1302801,Maraã,1550
AM,1302900,Maués,630059.44
AM,1303007,Nhamundá,
AM,1303106,Nova Olinda do Norte,1378.09
AM,1303205,Novo Airão,
AM,1303304,Novo Aripuanã,241032.07
AM,1303403,Parintins,1264058.68
AM,1303502,Pauini,64.44
AM,1303536,Presidente Figueiredo,450911.81
AM,1303569,Rio Preto da Eva,217246.81
AM,1303601,Santa Isabel do Rio Negro,13161.69
AM,1303700,Santo Antônio do Içá,1266.22
AM,1303809,São Gabriel da Cachoeira,223417.14
AM,1303908,São Paulo de Olivença,34059.66
AM,1303957,São Sebastião do Uatumã,8145.69
AM,1304005,Silves,162.7
AM,1304062,Tabatinga,437928.54
AM,1304104,Tapauá,80371.81
AM,1304203,Tefé,524766.16
AM,1304237,Tonantins,5263.76
AM,1304260,Uarini,5798.1
AM,1304302,Urucará,79511.14
AM,1304401,Urucurituba,114994.28
AP,1600055,Serra do Navio,80512.56
AP,1600105,Amapá,2714.7
AP,1600154,Pedra Branca do Amaparí,499201.71
AP,1600204,Calçoene,
AP,1600212,Cutias,
AP,1600238,Ferreira Gomes,
AP,1600253,Itaubal,3681.41
AP,1600279,Laranjal do Jari,220949.27
AP,1600303,Macapá,17658016.56
AP,1600402,Mazagão,
AP,1600501,Oiapoque,
AP,1600535,Porto Grande,66572.98
AP,1600550,Pracuúba,190.53
AP,1600600,Santana,2091254.01
AP,1600709,Tartarugalzinho,
AP,1600808,Vitória do Jari,10023.65
BA,2900108,Abaíra,49309.01
BA,2900207,Abaré,57635.77
BA,2900306,Acajutiba,155026.71
BA,2900355,Adustina,46911.03
BA,2900405,Água Fria,34926.94
BA,2900504,Érico Cardoso,12084.55
BA,2900603,Aiquara,15996.07
BA,2900702,Alagoinhas,9807593.39
BA,2900801,Alcobaça,1818252.01
BA,2900900,Almadina,48031.08
BA,2901007,Amargosa,2077130.75
BA,2901106,Amélia Rodrigues,749212.58
BA,2901155,América Dourada,25391.76
BA,2901205,Anagé,139967.62
BA,2901304,Andaraí,630615.74
BA,2901353,Andorinha,239739.22
BA,2901403,Angical,189726.91
BA,2901502,Anguera,58367.77
BA,2901601,Antas,42348.42
BA,2901700,Antônio Cardoso,29875.4
BA,2901809,Antônio Gonçalves,56452.39
BA,2901908,Aporá,138163.09
BA,2901957,Apuarema,101420.76
BA,2902005,Aracatu,
BA,2902054,Araças,130882.71
BA,2902104,Araci,273790.69
BA,2902203,Aramari,48148.19
BA,2902252,Arataca,12149.46
BA,2902302,Aratuípe,10463.54
BA,2902401,Aurelino Leal,23575.5
BA,2902500,Baianópolis,135473.07
BA,2902609,Baixa Grande,194416.37
BA,2902658,Banzaê,51219.24
BA,2902708,Barra,826996.2
BA,2902807,Barra da Estiva,330434.58
BA,2902906,Barra do Choça,737952.64
BA,2903003,Barra do Mendes,412519.2
BA,2903102,Barra do Rocha,31746.45
BA,2903201,Barreiras,12239957.5
BA,2903235,Barro Alto,26346.43
BA,2903276,Barrocas,74915.18
BA,2903300,Governador Lomanto Júnior,70092.26
BA,2903409,Belmonte,107814.52
BA,2903508,Belo Campo,345798.41
BA,2903607,Biritinga,55261.06
BA,2903706,Boa Nova,81173.96
BA,2903805,Boa Vista do Tupim,54779.76
BA,2903904,Bom Jesus da Lapa,1188878.84
BA,2903953,Bom Jesus da Serra,29834.28
BA,2904001,Boninal,159981.88
BA,2904050,Bonito,35649.47
BA,2904100,Boquira,301871.57
BA,2904209,Botuporã,64879.23
BA,2904308,Brejões,59153.05
BA,2904407,Brejolândia,
BA,2904506,Brotas de Macaúbas,31457.11
BA,2904605,Brumado,4221452.3
BA,2904704,Buerarema,284820.86
BA,2904753,Buritirama,152261.73
BA,2904803,Caatiba,
BA,2904852,Cabaceiras do Paraguaçu,69985.85
BA,2904902,Cachoeira,
BA,2905008,Caculé,657360.79
BA,2905107,Caém,59032.23
BA,2905156,Caetanos,21981.91
BA,2905206,Caetité,558337.43
BA,2905305,Cafarnaum,156469.27
BA,2905404,Cairu,2558012.82
BA,2905503,Caldeirão Grande,14048.12
BA,2905602,Camacan,939232.11
BA,2905701,Camaçari,259779725.15
BA,2905800,Camamu,189525.33
BA,2905909,Campo Alegre de Lourdes,
BA,2906006,Campo Formoso,1517556.91
BA,2906105,Canápolis,100687.6
BA,2906204,Canarana,37713.54
BA,2906303,Canavieiras,1259988.48
BA,2906402,Candeal,34707.04
BA,2906501,Candeias,21201588.3
BA,2906600,Candiba,10073.09
BA,2906709,Cândido Sales,829771.51
BA,2906808,Cansanção,280043.93
BA,2906824,Canudos,89922.96
BA,2906857,Capela do Alto Alegre,152430.86
BA,2906873,Capim Grosso,641190.26
BA,2906899,Caraíbas,5074.4
BA,2906907,Caravelas,812903.61
BA,2907004,Cardeal da Silva,106725.67
BA,2907103,Carinhanha,394961.3
BA,2907202,Casa Nova,291957.43
BA,2907301,Castro Alves,421986.36
BA,2907400,Catolândia,7696.92
BA,2907509,Catu,1763673.52
BA,2907558,Caturama,22066.5
BA,2907608,Central,248329.04
BA,2907707,Chorrochó,
BA,2907806,Cícero Dantas,882208.82
BA,2907905,Cipó,411489.67
BA,2908002,Coaraci,328616.38
BA,2908101,Cocos,138433.02
BA,2908200,Conceição da Feira,187051.11
BA,2908309,Conceição do Almeida,227723.11
BA,2908408,Conceição do Coité,1132778.1
BA,2908507,Conceição do Jacuípe,1093984.99
BA,2908606,Conde,831581.92
BA,2908705,Condeúba,226421.82
BA,2908804,Contendas do Sincorá,39340.31
BA,2908903,Coração de Maria,731341.08
BA,2909000,Cordeiros,53383.71
BA,2909109,Coribe,55076.67
BA,2909208,Coronel João Sá,257877.32
BA,2909307,Correntina,1125401.37
BA,2909406,Cotegipe,133952.42
BA,2909505,Cravolândia,2268.64
BA,2909604,Crisópolis,199059.69
BA,2909703,Cristópolis,44449.67
BA,2909802,Cruz das Almas,3496261.18
BA,2909901,Curaçá,351491.29
BA,2910008,Dário Meira,60673.02
BA,2910057,Dias d'Ávila,6999257.47
BA,2910107,Dom Basílio,128754.2
BA,2910206,Dom Macedo Costa,5104.01
BA,2910305,Elísio Medrado,53216.53
BA,2910404,Encruzilhada,158013.77
BA,2910503,Entre Rios,3441407.9
BA,2910602,Esplanada,401663
BA,2910701,Euclides da Cunha,1508829.02
BA,2910727,Eunápolis,7485343.6
BA,2910750,Fátima,60949.81
BA,2910776,Feira da Mata,2616.14
BA,2910800,Feira de Santana,111045140.11
BA,2910859,Filadélfia,93031.12
BA,2910909,Firmino Alves,17282.51
BA,2911006,Floresta Azul,39000.52
BA,2911105,Formosa do Rio Preto,402160.29
BA,2911204,Gandu,708210.6
BA,2911253,Gavião,49066.5
BA,2911303,Gentio do Ouro,21348.11
BA,2911402,Glória,132606.65
BA,2911501,Gongogi,29337.33
BA,2911600,Governador Mangabeira,506587.01
BA,2911659,Guajeru,127674.87
BA,2911709,Guanambi,14254348.57
BA,2911808,Guaratinga,
BA,2911857,Heliópolis,32558.24
BA,2911907,Iaçu,274304.49
BA,2912004,Ibiassucê,67231.61
BA,2912103,Ibicaraí,194627.78
BA,2912202,Ibicoara,66478.95
BA,2912301,Ibicuí,143345.91
BA,2912400,Ibipeba,45293.08
BA,2912509,Ibipitanga,32608.2
BA,2912608,Ibiquera,785
BA,2912707,Ibirapitanga,37756.87
BA,2912806,Ibirapuã,44678.9
BA,2912905,Ibirataia,172115.93
BA,2913002,Ibitiara,34440.49
BA,2913101,Ibititá,125020.67
BA,2913200,Ibotirama,1242408.88
BA,2913309,Ichu,23417.43
BA,2913408,Igaporã,174231.74
BA,2913457,Igrapiúna,109035.48
BA,2913507,Iguaí,77773.27
BA,2913606,Ilhéus,29315182.14
BA,2913705,Inhambupe,505879.05
BA,2913804,Ipecaetá,172052.99
BA,2913903,Ipiaú,1293570.54
BA,2914000,Ipirá,1165042.07
BA,2914109,Ipupiara,190539.53
BA,2914208,Irajuba,15582.19
BA,2914307,Iramaia,3322.05
BA,2914406,Iraquara,67324.26
BA,2914505,Irará,877886.69
BA,2914604,Irecê,4642585.99
BA,2914653,Itabela,391539.29
BA,2914703,Itaberaba,2861396.49
BA,2914802,Itabuna,20092458.83
BA,2914901,Itacaré,
BA,2915007,Itaeté,90689.87
BA,2915106,Itagi,391725.06
BA,2915205,Itagibá,276777.55
BA,2915304,Itagimirim,112902.96
BA,2915353,Itaguaçu da Bahia,169956.8
BA,2915403,Itaju do Colônia,4870.01
BA,2915502,Itajuípe,160201.88
BA,2915601,Itamaraju,1106852.24
BA,2915700,Itamari,61026.45
BA,2915809,Itambé,294716.09
BA,2915908,Itanagra,30869.61
BA,2916005,Itanhém,326535.05
BA,2916104,Itaparica,2943881.33
BA,2916203,Itapé,199710.34
BA,2916302,Itapebi,93334.95
BA,2916401,Itapetinga,3941166.73
BA,2916500,Itapicuru,132840.88
BA,2916609,Itapitanga,52787.68
BA,2916708,Itaquara,32621.43
BA,2916807,Itarantim,247919.88
BA,2916856,Itatim,253259.36
BA,2916906,Itiruçu,64049.77
BA,2917003,Itiúba,301194.89
BA,2917102,Itororó,9858.88
BA,2917201,Ituaçu,77005.14
BA,2917300,Ituberá,509023.2
BA,2917334,Iuiú,51291.07
BA,2917359,Jaborandi,95039.17
BA,2917409,Jacaraci,192789.4
BA,2917508,Jacobina,3780786.4
