UF,COD,MUN,OPERACOES_CREDITO
AC,1200013,Acrelândia,73364.7102085205
AC,1200054,Assis Brasil,5879.3547741831
AC,1200104,Brasiléia,102574.855376725
AC,1200138,Bujari,20205.6888402435
AC,1200179,Capixaba,
AC,1200203,Cruzeiro do Sul,278542.268802272
AC,1200252,Epitaciolândia,69103.206578245
AC,1200302,Feijó,28463.2225740065
AC,1200328,Jordão,
AC,1200336,Mâncio Lima,
AC,1200344,Manoel Urbano,10442.2908099868
AC,1200351,Marechal Thaumaturgo,
AC,1200385,Plácido de Castro,53706.2438780964
AC,1200393,Porto Walter,
AC,1200401,Rio Branco,2108778.39508168
AC,1200427,Rodrigues Alves,
AC,1200435,Santa Rosa do Purus,
AC,1200450,Senador Guiomard,80545.1109011701
AC,1200500,Sena Madureira,111313.582219462
AC,1200609,Tarauacá,134671.189619468
AC,1200708,Xapuri,15037.3437227759
AC,1200807,Porto Acre,19910.4344400424
AL,2700102,Água Branca,19701.3833408017
AL,2700201,Anadia,
AL,2700300,Arapiraca,933937.051211635
AL,2700409,Atalaia,61273.5635936137
AL,2700508,Barra de Santo Antônio,
AL,2700607,Barra de São Miguel,
AL,2700706,Batalha,3890.7331782728
AL,2700805,Belém,
AL,2700904,Belo Monte,
AL,2701001,Boca da Mata,29269.7484809308
AL,2701100,Branquinha,
AL,2701209,Cacimbinhas,
AL,2701308,Cajueiro,
AL,2701357,Campestre,
AL,2701407,Campo Alegre,24038.8287452004
AL,2701506,Campo Grande,
AL,2701605,Canapi,
AL,2701704,Capela,30393.183309278
AL,2701803,Carneiros,
AL,2701902,Chã Preta,
AL,2702009,Coité do Nóia,
AL,2702108,Colônia Leopoldina,
AL,2702207,Coqueiro Seco,
AL,2702306,Coruripe,77941.2146666471
AL,2702355,Craíbas,
AL,2702405,Delmiro Gouveia,133037.693070852
AL,2702504,Dois Riachos,
AL,2702553,Estrela de Alagoas,
AL,2702603,Feira Grande,
AL,2702702,Feliz Deserto,
AL,2702801,Flexeiras,
AL,2702900,Girau do Ponciano,88579.8575371625
AL,2703007,Ibateguara,
AL,2703106,Igaci,15080.6448895754
AL,2703205,Igreja Nova,
AL,2703304,Inhapi,
AL,2703403,Jacaré dos Homens,
AL,2703502,Jacuípe,
AL,2703601,Japaratinga,
AL,2703700,Jaramataia,
AL,2703759,Jequiá da Praia,
AL,2703809,Joaquim Gomes,15850.6273699466
AL,2703908,Jundiá,
AL,2704005,Junqueiro,
AL,2704104,Lagoa da Canoa,
AL,2704203,Limoeiro de Anadia,
AL,2704302,Maceió,5998469.23447187
AL,2704401,Major Isidoro,65494.3960847116
AL,2704500,Maragogi,44119.2195867504
AL,2704609,Maravilha,
AL,2704708,Marechal Deodoro,50279.1034941879
AL,2704807,Maribondo,27691.6899043383
AL,2704906,Mar Vermelho,
AL,2705002,Mata Grande,5738.7237713334
AL,2705101,Matriz de Camaragibe,
AL,2705200,Messias,
AL,2705309,Minador do Negrão,
AL,2705408,Monteirópolis,
AL,2705507,Murici,54771.2633033819
AL,2705606,Novo Lino,
AL,2705705,Olho d'Água das Flores,37668.6053991601
AL,2705804,Olho d'Água do Casado,
AL,2705903,Olho d'Água Grande,
AL,2706000,Olivença,
AL,2706109,Ouro Branco,
AL,2706208,Palestina,
AL,2706307,Palmeira dos Índios,188018.70184277
AL,2706406,Pão de Açúcar,15449.1344675149
AL,2706422,Pariconha,
AL,2706448,Paripueira,
AL,2706505,Passo de Camaragibe,
AL,2706604,Paulo Jacinto,
AL,2706703,Penedo,167362.603598992
AL,2706802,Piaçabuçu,
AL,2706901,Pilar,80971.0261762187
AL,2707008,Pindoba,
AL,2707107,Piranhas,20386.647954213
AL,2707206,Poço das Trincheiras,
AL,2707305,Porto Calvo,46698.7411400573
AL,2707404,Porto de Pedras,
AL,2707503,Porto Real do Colégio,
AL,2707602,Quebrangulo,
AL,2707701,Rio Largo,110644.328353142
AL,2707800,Roteiro,
AL,2707909,Santa Luzia do Norte,
AL,2708006,Santana do Ipanema,129856.069768903
AL,2708105,Santana do Mundaú,
AL,2708204,São Brás,
AL,2708303,São José da Laje,43988.3552577614
AL,2708402,São José da Tapera,29533.6127510902
AL,2708501,São Luís do Quitunde,29561.361270768
AL,2708600,São Miguel dos Campos,110257.342824835
AL,2708709,São Miguel dos Milagres,
AL,2708808,São Sebastião,78959.7966686045
AL,2708907,Satuba,
AL,2708956,Senador Rui Palmeira,
AL,2709004,Tanque d'Arca,
AL,2709103,Taquarana,29527.5148148123
AL,2709152,Teotônio Vilela,54496.2401204842
AL,2709202,Traipu,
AL,2709301,União dos Palmares,99749.1009329095
AL,2709400,Viçosa,78502.4685116533
AM,1300029,Alvarães,
AM,1300060,Amaturá,
AM,1300086,Anamã,
AM,1300102,Anori,
AM,1300144,Apuí,1800.5428995978
AM,1300201,Atalaia do Norte,
AM,1300300,Autazes,8277.6476914751
AM,1300409,Barcelos,8788.2003268986
AM,1300508,Barreirinha,293.1161628049
AM,1300607,Benjamin Constant,995.9491507135
AM,1300631,Beruri,150.4029271399
AM,1300680,Boa Vista do Ramos,
AM,1300706,Boca do Acre,25662.5034904469
AM,1300805,Borba,26096.2712202836
AM,1300839,Caapiranga,
AM,1300904,Canutama,194.1617563737
AM,1301001,Carauari,10364.2024852873
AM,1301100,Careiro,9106.3422241722
AM,1301159,Careiro da Várzea,
AM,1301209,Coari,39683.9197408916
AM,1301308,Codajás,653.6338386863
AM,1301407,Eirunepé,9965.2656669294
AM,1301506,Envira,148.7521046116
AM,1301605,Fonte Boa,571.1010254519
AM,1301654,Guajará,
AM,1301704,Humaitá,85484.9446401521
AM,1301803,Ipixuna,191.308147964
AM,1301852,Iranduba,23667.7472052525
AM,1301902,Itacoatiara,89248.9884559254
AM,1301951,Itamarati,
AM,1302009,Itapiranga,
AM,1302108,Japurá,
AM,1302207,Juruá,
AM,1302306,Jutaí,567.6090523275
AM,1302405,Lábrea,26083.2672191271
AM,1302504,Manacapuru,61217.5301353822
AM,1302553,Manaquiri,123.5675446518
