UF,COD,MUN,POUPANCA
AC,1200013,Acrelândia,7711.0869748958
AC,1200054,Assis Brasil,2400.0338721926
AC,1200104,Brasiléia,25602.8100453484
AC,1200138,Bujari,3756.5571409041
AC,1200179,Capixaba,
AC,1200203,Cruzeiro do Sul,112892.109396883
AC,1200252,Epitaciolândia,19013.6365868648
AC,1200302,Feijó,10918.0926029807
AC,1200328,Jordão,
AC,1200336,Mâncio Lima,
AC,1200344,Manoel Urbano,5176.5134730946
AC,1200351,Marechal Thaumaturgo,
AC,1200385,Plácido de Castro,5844.134455853
AC,1200393,Porto Walter,
AC,1200401,Rio Branco,472562.451283456
AC,1200427,Rodrigues Alves,
AC,1200435,Santa Rosa do Purus,
AC,1200450,Senador Guiomard,18168.0697991092
AC,1200500,Sena Madureira,31611.8727414327
AC,1200609,Tarauacá,27879.708220712
AC,1200708,Xapuri,2557.2645453049
AC,1200807,Porto Acre,6517.8485619957
AL,2700102,Água Branca,17810.1121451237
AL,2700201,Anadia,
AL,2700300,Arapiraca,320029.64018068
AL,2700409,Atalaia,30082.3942009225
AL,2700508,Barra de Santo Antônio,
AL,2700607,Barra de São Miguel,
AL,2700706,Batalha,1960.3865364363
AL,2700805,Belém,
AL,2700904,Belo Monte,
AL,2701001,Boca da Mata,20697.8374078145
AL,2701100,Branquinha,
AL,2701209,Cacimbinhas,
AL,2701308,Cajueiro,
AL,2701357,Campestre,
AL,2701407,Campo Alegre,11358.6128226342
AL,2701506,Campo Grande,
AL,2701605,Canapi,
AL,2701704,Capela,27393.3473765452
AL,2701803,Carneiros,
AL,2701902,Chã Preta,
AL,2702009,Coité do Nóia,
AL,2702108,Colônia Leopoldina,
AL,2702207,Coqueiro Seco,
AL,2702306,Coruripe,51372.5128666165
AL,2702355,Craíbas,
AL,2702405,Delmiro Gouveia,110855.602134186
AL,2702504,Dois Riachos,
AL,2702553,Estrela de Alagoas,
AL,2702603,Feira Grande,
AL,2702702,Feliz Deserto,
AL,2702801,Flexeiras,
AL,2702900,Girau do Ponciano,42313.2337419493
AL,2703007,Ibateguara,
AL,2703106,Igaci,8669.9155893516
AL,2703205,Igreja Nova,
AL,2703304,Inhapi,
AL,2703403,Jacaré dos Homens,
AL,2703502,Jacuípe,
AL,2703601,Japaratinga,
AL,2703700,Jaramataia,
AL,2703759,Jequiá da Praia,
AL,2703809,Joaquim Gomes,8482.4310666393
AL,2703908,Jundiá,
AL,2704005,Junqueiro,
AL,2704104,Lagoa da Canoa,
AL,2704203,Limoeiro de Anadia,
AL,2704302,Maceió,2154184.34966635
AL,2704401,Major Isidoro,31108.1649158774
AL,2704500,Maragogi,30957.9059380118
AL,2704609,Maravilha,
AL,2704708,Marechal Deodoro,18511.184926557
AL,2704807,Maribondo,25417.2878706455
AL,2704906,Mar Vermelho,
AL,2705002,Mata Grande,1901.3962113491
AL,2705101,Matriz de Camaragibe,
AL,2705200,Messias,
AL,2705309,Minador do Negrão,
AL,2705408,Monteirópolis,
AL,2705507,Murici,25526.544494742
AL,2705606,Novo Lino,
AL,2705705,Olho d'Água das Flores,19313.0821423796
AL,2705804,Olho d'Água do Casado,
AL,2705903,Olho d'Água Grande,
AL,2706000,Olivença,
AL,2706109,Ouro Branco,
AL,2706208,Palestina,
AL,2706307,Palmeira dos Índios,112048.330817893
AL,2706406,Pão de Açúcar,10413.5871496837
AL,2706422,Pariconha,
AL,2706448,Paripueira,
AL,2706505,Passo de Camaragibe,
AL,2706604,Paulo Jacinto,
AL,2706703,Penedo,88178.6337192405
AL,2706802,Piaçabuçu,
AL,2706901,Pilar,26223.3429890618
AL,2707008,Pindoba,
AL,2707107,Piranhas,7839.1121341562
AL,2707206,Poço das Trincheiras,
AL,2707305,Porto Calvo,43087.1859845254
AL,2707404,Porto de Pedras,
AL,2707503,Porto Real do Colégio,
AL,2707602,Quebrangulo,
AL,2707701,Rio Largo,64830.3055782269
AL,2707800,Roteiro,
AL,2707909,Santa Luzia do Norte,
AL,2708006,Santana do Ipanema,91062.8031285819
AL,2708105,Santana do Mundaú,
AL,2708204,São Brás,
AL,2708303,São José da Laje,21241.1496602962
AL,2708402,São José da Tapera,20821.7886713525
AL,2708501,São Luís do Quitunde,25120.7283011887
AL,2708600,São Miguel dos Campos,68174.8033274181
AL,2708709,São Miguel dos Milagres,
AL,2708808,São Sebastião,45879.2843004531
AL,2708907,Satuba,
AL,2708956,Senador Rui Palmeira,
AL,2709004,Tanque d'Arca,
AL,2709103,Taquarana,12632.8688623347
AL,2709152,Teotônio Vilela,35434.2772682942
AL,2709202,Traipu,
AL,2709301,União dos Palmares,86765.9566699557
AL,2709400,Viçosa,52568.7133968016
AM,1300029,Alvarães,
AM,1300060,Amaturá,
AM,1300086,Anamã,
AM,1300102,Anori,
AM,1300144,Apuí,5522.8637401591
AM,1300201,Atalaia do Norte,
AM,1300300,Autazes,10409.9249751378
AM,1300409,Barcelos,4259.7202344034
AM,1300508,Barreirinha,2509.0034728122
AM,1300607,Benjamin Constant,5721.4975498223
AM,1300631,Beruri,2094.3739958803
AM,1300680,Boa Vista do Ramos,
AM,1300706,Boca do Acre,13885.6020790855
AM,1300805,Borba,8154.4682410673
AM,1300839,Caapiranga,
AM,1300904,Canutama,4191.756925375
AM,1301001,Carauari,15317.3858786983
AM,1301100,Careiro,10959.2441564535
AM,1301159,Careiro da Várzea,
AM,1301209,Coari,26492.9678554067
AM,1301308,Codajás,6177.2418272208
AM,1301407,Eirunepé,11690.9313169762
AM,1301506,Envira,3277.8457349197
AM,1301605,Fonte Boa,5752.6855383298
AM,1301654,Guajará,
