UF,COD,MUN,TX_HOMICIDIO
AC,1200013,Acrelândia,42.79
AC,1200054,Assis Brasil,49.38
AC,1200104,Brasiléia,69.23
AC,1200138,Bujari,23.23
AC,1200179,Capixaba,38.49
AC,1200203,Cruzeiro do Sul,289.27
AC,1200252,Epitaciolândia,31.99
AC,1200302,Feijó,45.16
AC,1200328,Jordão,0
AC,1200336,Mâncio Lima,10.37
AC,1200344,Manoel Urbano,33.34
AC,1200351,Marechal Thaumaturgo,17.55
AC,1200385,Plácido de Castro,24.15
AC,1200393,Porto Walter,18.63
AC,1200401,Rio Branco,2050.72
AC,1200427,Rodrigues Alves,26.78
AC,1200435,Santa Rosa do Purus,0
AC,1200450,Senador Guiomard,41.95
AC,1200500,Sena Madureira,36.28
AC,1200609,Tarauacá,25.31
AC,1200708,Xapuri,54.82
AC,1200807,Porto Acre,17.97
AL,2700102,Água Branca,11.38
AL,2700201,Anadia,7.16
AL,2700300,Arapiraca,33.23
AL,2700409,Atalaia,251.26
AL,2700508,Barra de Santo Antônio,79.44
AL,2700607,Barra de São Miguel,62.94
AL,2700706,Batalha,0
AL,2700805,Belém,0.08
AL,2700904,Belo Monte,16.85
AL,2701001,Boca da Mata,47.2
AL,2701100,Branquinha,20.83
AL,2701209,Cacimbinhas,57.24
AL,2701308,Cajueiro,31.2
AL,2701357,Campestre,9.66
AL,2701407,Campo Alegre,79.99
AL,2701506,Campo Grande,0.22
AL,2701605,Canapi,32.14
AL,2701704,Capela,6.65
AL,2701803,Carneiros,11.11
AL,2701902,Chã Preta,16.92
AL,2702009,Coité do Nóia,27.75
AL,2702108,Colônia Leopoldina,25.29
AL,2702207,Coqueiro Seco,71.67
AL,2702306,Coruripe,29.75
AL,2702355,Craíbas,23.62
AL,2702405,Delmiro Gouveia,23.38
AL,2702504,Dois Riachos,61.19
AL,2702553,Estrela de Alagoas,6.48
AL,2702603,Feira Grande,26.42
AL,2702702,Feliz Deserto,75.7
AL,2702801,Flexeiras,72.78
AL,2702900,Girau do Ponciano,30.47
AL,2703007,Ibateguara,36.41
AL,2703106,Igaci,50.01
AL,2703205,Igreja Nova,4.68
AL,2703304,Inhapi,52.75
AL,2703403,Jacaré dos Homens,39.35
AL,2703502,Jacuípe,18.68
AL,2703601,Japaratinga,43.39
AL,2703700,Jaramataia,20.06
AL,2703759,Jequiá da Praia,10.56
AL,2703809,Joaquim Gomes,46.65
AL,2703908,Jundiá,0
AL,2704005,Junqueiro,12.55
AL,2704104,Lagoa da Canoa,43.34
AL,2704203,Limoeiro de Anadia,8.08
AL,2704302,Maceió,39.57
AL,2704401,Major Isidoro,39.55
AL,2704500,Maragogi,52.84
AL,2704609,Maravilha,17.7
AL,2704708,Marechal Deodoro,36.44
AL,2704807,Maribondo,51.17
AL,2704906,Mar Vermelho,0
AL,2705002,Mata Grande,59.51
AL,2705101,Matriz de Camaragibe,54.49
AL,2705200,Messias,51.93
AL,2705309,Minador do Negrão,20.64
AL,2705408,Monteirópolis,27.84
AL,2705507,Murici,43.67
AL,2705606,Novo Lino,49.9
AL,2705705,Olho d'Água das Flores,38.66
AL,2705804,Olho d'Água do Casado,11.98
AL,2705903,Olho d'Água Grande,138.57
AL,2706000,Olivença,37
AL,2706109,Ouro Branco,0
AL,2706208,Palestina,0
AL,2706307,Palmeira dos Índios,19.56
AL,2706406,Pão de Açúcar,16.79
AL,2706422,Pariconha,9.46
AL,2706448,Paripueira,50.6
AL,2706505,Passo de Camaragibe,65.2
AL,2706604,Paulo Jacinto,60.83
AL,2706703,Penedo,37.51
AL,2706802,Piaçabuçu,69.15
AL,2706901,Pilar,36.75
AL,2707008,Pindoba,0
AL,2707107,Piranhas,51.23
AL,2707206,Poço das Trincheiras,15.98
AL,2707305,Porto Calvo,41.54
AL,2707404,Porto de Pedras,86.07
AL,2707503,Porto Real do Colégio,24.9
AL,2707602,Quebrangulo,27.08
AL,2707701,Rio Largo,45.78
AL,2707800,Roteiro,0
AL,2707909,Santa Luzia do Norte,72.26
AL,2708006,Santana do Ipanema,43.27
AL,2708105,Santana do Mundaú,8.83
AL,2708204,São Brás,15.26
AL,2708303,São José da Laje,28.83
AL,2708402,São José da Tapera,26.14
AL,2708501,São Luís do Quitunde,61.54
AL,2708600,São Miguel dos Campos,48.09
AL,2708709,São Miguel dos Milagres,129.69
AL,2708808,São Sebastião,14.71
AL,2708907,Satuba,41.19
AL,2708956,Senador Rui Palmeira,48.77
AL,2709004,Tanque d'Arca,17.25
AL,2709103,Taquarana,31.53
AL,2709152,Teotônio Vilela,23.65
AL,2709202,Traipu,16.97
AL,2709301,União dos Palmares,45.55
AL,2709400,Viçosa,16.6
AM,1300029,Alvarães,6.3
AM,1300060,Amaturá,0
AM,1300086,Anamã,40.15
AM,1300102,Anori,34.9
AM,1300144,Apuí,29.06
AM,1300201,Atalaia do Norte,19.59
AM,1300300,Autazes,12.03
AM,1300409,Barcelos,21.24
AM,1300508,Barreirinha,12.88
AM,1300607,Benjamin Constant,15.94
AM,1300631,Beruri,38.61
AM,1300680,Boa Vista do Ramos,46.25
AM,1300706,Boca do Acre,33.85
AM,1300805,Borba,51.39
AM,1300839,Caapiranga,0
AM,1300904,Canutama,17.78
AM,1301001,Carauari,27.83
AM,1301100,Careiro,42.22
AM,1301159,Careiro da Várzea,0
AM,1301209,Coari,83.55
AM,1301308,Codajás,21.23
AM,1301407,Eirunepé,45.22
AM,1301506,Envira,40.73
AM,1301605,Fonte Boa,42.52
AM,1301654,Guajará,14.48
AM,1301704,Humaitá,192.27
AM,1301803,Ipixuna,20.57
AM,1301852,Iranduba,96.46
AM,1301902,Itacoatiara,33.78
AM,1301951,Itamarati,27.43
AM,1302009,Itapiranga,0
AM,1302108,Japurá,79.02
AM,1302207,Juruá,18.62
AM,1302306,Jutaí,27.81
AM,1302405,Lábrea,11
AM,1302504,Manacapuru,26.5
AM,1302553,Manaquiri,0
AM,1302603,Manaus,54.76
AM,1302702,Manicoré,25.97
AM,1302801,Maraã,52.44
AM,1302900,Maués,39.21
AM,1303007,Nhamundá,4.97
AM,1303106,Nova Olinda do Norte,25.87
AM,1303205,Novo Airão,31.72
AM,1303304,Novo Aripuanã,54.58
AM,1303403,Parintins,32.17
AM,1303502,Pauini,25.81
AM,1303536,Presidente Figueiredo,42.39
AM,1303569,Rio Preto da Eva,40.1
AM,1303601,Santa Isabel do Rio Negro,7.06
AM,1303700,Santo Antônio do Içá,7.09
AM,1303809,São Gabriel da Cachoeira,17.38
AM,1303908,São Paulo de Olivença,9.1
AM,1303957,São Sebastião do Uatumã,42.84
AM,1304005,Silves,17.3
AM,1304062,Tabatinga,426.57
AM,1304104,Tapauá,25.51
AM,1304203,Tefé,27.15
AM,1304237,Tonantins,10.39
AM,1304260,Uarini,13.86
AM,1304302,Urucará,42.94
AM,1304401,Urucurituba,12.53
AP,1600055,Serra do Navio,21.4
AP,1600105,Amapá,37.77
AP,1600154,Pedra Branca do Amaparí,23.35
AP,1600204,Calçoene,47.12
AP,1600212,Cutias,22.42
AP,1600238,Ferreira Gomes,30
AP,1600253,Itaubal,35.72
AP,1600279,Laranjal do Jari,54.11
AP,1600303,Macapá,54.41
AP,1600402,Mazagão,13.68
AP,1600501,Oiapoque,36.39
AP,1600535,Porto Grande,22.41
AP,1600550,Pracuúba,78.89
AP,1600600,Santana,226.22
AP,1600709,Tartarugalzinho,15.45
AP,1600808,Vitória do Jari,26.57
BA,2900108,Abaíra,27.39
BA,2900207,Abaré,17.01
BA,2900306,Acajutiba,29
BA,2900355,Adustina,21.13
BA,2900405,Água Fria,55.18
BA,2900504,Érico Cardoso,9.43
BA,2900603,Aiquara,0
BA,2900702,Alagoinhas,49.65
BA,2900801,Alcobaça,93.76
BA,2900900,Almadina,38.33
BA,2901007,Amargosa,21.91
BA,2901106,Amélia Rodrigues,16.57
BA,2901155,América Dourada,19.82
BA,2901205,Anagé,7.86
BA,2901304,Andaraí,22.94
BA,2901353,Andorinha,13.32
BA,2901403,Angical,21.85
BA,2901502,Anguera,72.52
BA,2901601,Antas,56.31
BA,2901700,Antônio Cardoso,53.83
BA,2901809,Antônio Gonçalves,46.03
BA,2901908,Aporá,18.84
BA,2901957,Apuarema,43.4
BA,2902005,Aracatu,14.35
BA,2902054,Araças,43.26
BA,2902104,Araci,37.27
BA,2902203,Aramari,30.51
BA,2902252,Arataca,39.25
BA,2902302,Aratuípe,34.57
BA,2902401,Aurelino Leal,178.91
BA,2902500,Baianópolis,0
BA,2902609,Baixa Grande,54.88
BA,2902658,Banzaê,8.36
BA,2902708,Barra,13.7
BA,2902807,Barra da Estiva,19.21
BA,2902906,Barra do Choça,57.47
BA,2903003,Barra do Mendes,14.46
BA,2903102,Barra do Rocha,17.32
BA,2903201,Barreiras,36.94
BA,2903235,Barro Alto,19.28
BA,2903276,Barrocas,6.58
BA,2903300,Governador Lomanto Júnior,51.43
BA,2903409,Belmonte,1015.8
BA,2903508,Belo Campo,0
BA,2903607,Biritinga,39.61
BA,2903706,Boa Nova,7.3
BA,2903805,Boa Vista do Tupim,11.85
BA,2903904,Bom Jesus da Lapa,27.46
BA,2903953,Bom Jesus da Serra,10.28
BA,2904001,Boninal,7.34
BA,2904050,Bonito,12.62
