UF,COD,MUNICIPIO,TX_SUICIDIO
AC,1200013,Acrelândia,21.4
AC,1200054,Assis Brasil,12.35
AC,1200104,Brasiléia,15.38
AC,1200138,Bujari,7.74
AC,1200179,Capixaba,0
AC,1200203,Cruzeiro do Sul,244.77
AC,1200252,Epitaciolândia,5.33
AC,1200302,Feijó,11.29
AC,1200328,Jordão,21.69
AC,1200336,Mâncio Lima,5.18
AC,1200344,Manoel Urbano,16.67
AC,1200351,Marechal Thaumaturgo,5.85
AC,1200385,Plácido de Castro,6.04
AC,1200393,Porto Walter,0
AC,1200401,Rio Branco,815.88
AC,1200427,Rodrigues Alves,0
AC,1200435,Santa Rosa do Purus,0
AC,1200450,Senador Guiomard,13.98
AC,1200500,Sena Madureira,7.26
AC,1200609,Tarauacá,9.2
AC,1200708,Xapuri,0
AC,1200807,Porto Acre,11.98
AL,2700102,Água Branca,5.69
AL,2700201,Anadia,14.32
AL,2700300,Arapiraca,6.82
AL,2700409,Atalaia,100.5
AL,2700508,Barra de Santo Antônio,0
AL,2700607,Barra de São Miguel,0
AL,2700706,Batalha,0
AL,2700805,Belém,0
AL,2700904,Belo Monte,16.85
AL,2701001,Boca da Mata,0
AL,2701100,Branquinha,0
AL,2701209,Cacimbinhas,0
AL,2701308,Cajueiro,0
AL,2701357,Campestre,0
AL,2701407,Campo Alegre,24
AL,2701506,Campo Grande,0.11
AL,2701605,Canapi,19.28
AL,2701704,Capela,0
AL,2701803,Carneiros,0
AL,2701902,Chã Preta,0
AL,2702009,Coité do Nóia,27.75
AL,2702108,Colônia Leopoldina,0
AL,2702207,Coqueiro Seco,0
AL,2702306,Coruripe,1.98
AL,2702355,Craíbas,7.87
AL,2702405,Delmiro Gouveia,3.9
AL,2702504,Dois Riachos,40.8
AL,2702553,Estrela de Alagoas,12.96
AL,2702603,Feira Grande,8.81
AL,2702702,Feliz Deserto,25.23
AL,2702801,Flexeiras,0
AL,2702900,Girau do Ponciano,0
AL,2703007,Ibateguara,0
AL,2703106,Igaci,12.5
AL,2703205,Igreja Nova,0
AL,2703304,Inhapi,19.78
AL,2703403,Jacaré dos Homens,0
AL,2703502,Jacuípe,0
AL,2703601,Japaratinga,0
AL,2703700,Jaramataia,20.06
AL,2703759,Jequiá da Praia,0
AL,2703809,Joaquim Gomes,0
AL,2703908,Jundiá,0
AL,2704005,Junqueiro,12.55
AL,2704104,Lagoa da Canoa,0
AL,2704203,Limoeiro de Anadia,12.13
AL,2704302,Maceió,6.58
AL,2704401,Major Isidoro,5.65
AL,2704500,Maragogi,12.43
AL,2704609,Maravilha,3.54
AL,2704708,Marechal Deodoro,3.31
AL,2704807,Maribondo,7.31
AL,2704906,Mar Vermelho,0
AL,2705002,Mata Grande,0
AL,2705101,Matriz de Camaragibe,4.19
AL,2705200,Messias,0
AL,2705309,Minador do Negrão,0
AL,2705408,Monteirópolis,0
AL,2705507,Murici,7.94
AL,2705606,Novo Lino,9.98
AL,2705705,Olho d'Água das Flores,9.66
AL,2705804,Olho d'Água do Casado,0
AL,2705903,Olho d'Água Grande,23.09
AL,2706000,Olivença,9.25
AL,2706109,Ouro Branco,2.58
AL,2706208,Palestina,0
AL,2706307,Palmeira dos Índios,12.57
AL,2706406,Pão de Açúcar,0
AL,2706422,Pariconha,0
AL,2706448,Paripueira,0
AL,2706505,Passo de Camaragibe,0
AL,2706604,Paulo Jacinto,15.21
AL,2706703,Penedo,8.53
AL,2706802,Piaçabuçu,0
AL,2706901,Pilar,2.83
AL,2707008,Pindoba,0
AL,2707107,Piranhas,8.54
AL,2707206,Poço das Trincheiras,7.99
AL,2707305,Porto Calvo,0
AL,2707404,Porto de Pedras,10.76
AL,2707503,Porto Real do Colégio,0
AL,2707602,Quebrangulo,9.03
AL,2707701,Rio Largo,5.32
AL,2707800,Roteiro,15.45
AL,2707909,Santa Luzia do Norte,0
AL,2708006,Santana do Ipanema,2.16
AL,2708105,Santana do Mundaú,8.83
AL,2708204,São Brás,15.26
AL,2708303,São José da Laje,0
AL,2708402,São José da Tapera,19.61
AL,2708501,São Luís do Quitunde,3.24
AL,2708600,São Miguel dos Campos,0
AL,2708709,São Miguel dos Milagres,0
AL,2708808,São Sebastião,3.68
AL,2708907,Satuba,4.12
AL,2708956,Senador Rui Palmeira,8.13
AL,2709004,Tanque d'Arca,0
AL,2709103,Taquarana,5.25
AL,2709152,Teotônio Vilela,2.63
AL,2709202,Traipu,0
AL,2709301,União dos Palmares,10.12
AL,2709400,Viçosa,8.3
AM,1300029,Alvarães,6.3
AM,1300060,Amaturá,18.49
AM,1300086,Anamã,0
AM,1300102,Anori,0
AM,1300144,Apuí,4.84
AM,1300201,Atalaia do Norte,6.53
AM,1300300,Autazes,9.62
AM,1300409,Barcelos,10.62
AM,1300508,Barreirinha,25.76
AM,1300607,Benjamin Constant,7.97
AM,1300631,Beruri,0
AM,1300680,Boa Vista do Ramos,0
AM,1300706,Boca do Acre,0
AM,1300805,Borba,3.02
AM,1300839,Caapiranga,14.85
AM,1300904,Canutama,0
AM,1301001,Carauari,6.96
AM,1301100,Careiro,9.74
AM,1301159,Careiro da Várzea,5.09
AM,1301209,Coari,11.33
AM,1301308,Codajás,0
AM,1301407,Eirunepé,18.09
AM,1301506,Envira,0
AM,1301605,Fonte Boa,0
AM,1301654,Guajará,21.72
AM,1301704,Humaitá,21.36
AM,1301803,Ipixuna,4.11
AM,1301852,Iranduba,6.54
AM,1301902,Itacoatiara,0.97
AM,1301951,Itamarati,0
AM,1302009,Itapiranga,0
AM,1302108,Japurá,0
AM,1302207,Juruá,18.62
AM,1302306,Jutaí,7.95
AM,1302405,Lábrea,6.6
AM,1302504,Manacapuru,2.94
AM,1302553,Manaquiri,5.85
AM,1302603,Manaus,6.01
AM,1302702,Manicoré,11.13
AM,1302801,Maraã,0
AM,1302900,Maués,6.54
AM,1303007,Nhamundá,0
AM,1303106,Nova Olinda do Norte,3.7
AM,1303205,Novo Airão,6.34
AM,1303304,Novo Aripuanã,0
AM,1303403,Parintins,14.53
AM,1303502,Pauini,0
AM,1303536,Presidente Figueiredo,3.26
AM,1303569,Rio Preto da Eva,4.01
AM,1303601,Santa Isabel do Rio Negro,28.24
AM,1303700,Santo Antônio do Içá,17.72
AM,1303809,São Gabriel da Cachoeira,42.48
AM,1303908,São Paulo de Olivença,21.23
AM,1303957,São Sebastião do Uatumã,0
AM,1304005,Silves,8.65
AM,1304062,Tabatinga,162.5
AM,1304104,Tapauá,5.1
AM,1304203,Tefé,14.93
AM,1304237,Tonantins,10.39
AM,1304260,Uarini,0
AM,1304302,Urucará,10.73
AM,1304401,Urucurituba,0
AP,1600055,Serra do Navio,0
AP,1600105,Amapá,0
AP,1600154,Pedra Branca do Amaparí,7.78
AP,1600204,Calçoene,37.69
AP,1600212,Cutias,0
AP,1600238,Ferreira Gomes,0
AP,1600253,Itaubal,35.72
AP,1600279,Laranjal do Jari,8.54
AP,1600303,Macapá,13.32
AP,1600402,Mazagão,4.56
AP,1600501,Oiapoque,7.28
AP,1600535,Porto Grande,11.21
AP,1600550,Pracuúba,0
AP,1600600,Santana,20.2
AP,1600709,Tartarugalzinho,15.45
AP,1600808,Vitória do Jari,0
BA,2900108,Abaíra,0
BA,2900207,Abaré,0
BA,2900306,Acajutiba,0
BA,2900355,Adustina,0
BA,2900405,Água Fria,6.9
BA,2900504,Érico Cardoso,0
BA,2900603,Aiquara,22.49
BA,2900702,Alagoinhas,3.97
BA,2900801,Alcobaça,4.08
BA,2900900,Almadina,0
BA,2901007,Amargosa,5.48
BA,2901106,Amélia Rodrigues,0
BA,2901155,América Dourada,6.61
BA,2901205,Anagé,3.93
BA,2901304,Andaraí,0
BA,2901353,Andorinha,0
BA,2901403,Angical,14.56
BA,2901502,Anguera,0
BA,2901601,Antas,21.12
BA,2901700,Antônio Cardoso,17.94
BA,2901809,Antônio Gonçalves,0
BA,2901908,Aporá,0
BA,2901957,Apuarema,14.47
BA,2902005,Aracatu,0
BA,2902054,Araças,0
BA,2902104,Araci,2.07
BA,2902203,Aramari,20.34
BA,2902252,Arataca,0
BA,2902302,Aratuípe,0
BA,2902401,Aurelino Leal,26.84
BA,2902500,Baianópolis,0
BA,2902609,Baixa Grande,5.49
BA,2902658,Banzaê,16.73
BA,2902708,Barra,3.91
BA,2902807,Barra da Estiva,3.84
BA,2902906,Barra do Choça,8.21
BA,2903003,Barra do Mendes,21.68
BA,2903102,Barra do Rocha,0
BA,2903201,Barreiras,9.39
BA,2903235,Barro Alto,19.28
BA,2903276,Barrocas,0
BA,2903300,Governador Lomanto Júnior,17.14
BA,2903409,Belmonte,37.62
BA,2903508,Belo Campo,5.43
BA,2903607,Biritinga,6.6
BA,2903706,Boa Nova,7.3
BA,2903805,Boa Vista do Tupim,11.85
BA,2903904,Bom Jesus da Lapa,3.05
BA,2903953,Bom Jesus da Serra,10.28
BA,2904001,Boninal,0
BA,2904050,Bonito,0
BA,2904100,Boquira,5.18
BA,2904209,Botuporã,0
BA,2904308,Brejões,0
BA,2904407,Brejolândia,10.98
BA,2904506,Brotas de Macaúbas,17
BA,2904605,Brumado,8.51
BA,2904704,Buerarema,13.51
BA,2904753,Buritirama,15.31
BA,2904803,Caatiba,0
BA,2904852,Cabaceiras do Paraguaçu,6.04
BA,2904902,Cachoeira,0
BA,2905008,Caculé,35.62
BA,2905107,Caém,19.26
BA,2905156,Caetanos,0
BA,2905206,Caetité,9.61
BA,2905305,Cafarnaum,5.73
BA,2905404,Cairu,16.89
BA,2905503,Caldeirão Grande,0
BA,2905602,Camacan,0
BA,2905701,Camaçari,3.66
BA,2905800,Camamu,3.28
BA,2905909,Campo Alegre de Lourdes,0
BA,2906006,Campo Formoso,9.81
BA,2906105,Canápolis,9.43
BA,2906204,Canarana,19.34
BA,2906303,Canavieiras,9.18
BA,2906402,Candeal,12.87
BA,2906501,Candeias,7.14
BA,2906600,Candiba,7.68
BA,2906709,Cândido Sales,0
BA,2906808,Cansanção,2.67
BA,2906824,Canudos,6.21
BA,2906857,Capela do Alto Alegre,9.31
BA,2906873,Capim Grosso,9.03
BA,2906899,Caraíbas,0
BA,2906907,Caravelas,4.86
BA,2907004,Cardeal da Silva,0
BA,2907103,Carinhanha,6.93
BA,2907202,Casa Nova,4.16
BA,2907301,Castro Alves,4.05
BA,2907400,Catolândia,29.12
BA,2907509,Catu,8.31
BA,2907558,Caturama,22.62
BA,2907608,Central,12.23
BA,2907707,Chorrochó,18.91
BA,2907806,Cícero Dantas,12.94
BA,2907905,Cipó,23.22
BA,2908002,Coaraci,0
BA,2908101,Cocos,15.66
BA,2908200,Conceição da Feira,0
BA,2908309,Conceição do Almeida,6.33
BA,2908408,Conceição do Coité,5.9
BA,2908507,Conceição do Jacuípe,11.33
BA,2908606,Conde,0
BA,2908705,Condeúba,5.86
BA,2908804,Contendas do Sincorá,0
BA,2908903,Coração de Maria,0
BA,2909000,Cordeiros,0
BA,2909109,Coribe,14.3
BA,2909208,Coronel João Sá,11.73
BA,2909307,Correntina,9.24
BA,2909406,Cotegipe,0
BA,2909505,Cravolândia,22.65
BA,2909604,Crisópolis,15.21
BA,2909703,Cristópolis,7.15
BA,2909802,Cruz das Almas,14.91
BA,2909901,Curaçá,8.78
BA,2910008,Dário Meira,0
BA,2910057,Dias d'Ávila,0
BA,2910107,Dom Basílio,0
BA,2910206,Dom Macedo Costa,0
BA,2910305,Elísio Medrado,0
BA,2910404,Encruzilhada,15.7
BA,2910503,Entre Rios,88.18
BA,2910602,Esplanada,3.07
BA,2910701,Euclides da Cunha,4.88
BA,2910727,Eunápolis,7.04
BA,2910750,Fátima,16.76
BA,2910776,Feira da Mata,0
BA,2910800,Feira de Santana,3.73
BA,2910859,Filadélfia,0
BA,2910909,Firmino Alves,20.52
BA,2911006,Floresta Azul,0
BA,2911105,Formosa do Rio Preto,3.86
BA,2911204,Gandu,3.11
BA,2911253,Gavião,22.94
BA,2911303,Gentio do Ouro,9.19
BA,2911402,Glória,6.44
BA,2911501,Gongogi,0
BA,2911600,Governador Mangabeira,9.71
BA,2911659,Guajeru,0
BA,2911709,Guanambi,5.69
BA,2911808,Guaratinga,0
BA,2911857,Heliópolis,0
BA,2911907,Iaçu,16.26
BA,2912004,Ibiassucê,9.59
BA,2912103,Ibicaraí,18.46
BA,2912202,Ibicoara,9.62
BA,2912301,Ibicuí,7.18
BA,2912400,Ibipeba,12.05
BA,2912509,Ibipitanga,7.21
BA,2912608,Ibiquera,26.85
BA,2912707,Ibirapitanga,0
BA,2912806,Ibirapuã,0
BA,2912905,Ibirataia,5.32
BA,2913002,Ibitiara,27.33
BA,2913101,Ibititá,0
BA,2913200,Ibotirama,7.6
BA,2913309,Ichu,32.31
BA,2913408,Igaporã,6.44
BA,2913457,Igrapiúna,15.21
BA,2913507,Iguaí,4.65
BA,2913606,Ilhéus,8.4
BA,2913705,Inhambupe,8.88
BA,2913804,Ipecaetá,0
BA,2913903,Ipiaú,4.91
BA,2914000,Ipirá,7.03
BA,2914109,Ipupiara,10.07
BA,2914208,Irajuba,16.39
BA,2914307,Iramaia,9.3
BA,2914406,Iraquara,20.94
BA,2914505,Irará,7.13
BA,2914604,Irecê,9.4
BA,2914653,Itabela,3.55
BA,2914703,Itaberaba,6.15
BA,2914802,Itabuna,1.07
BA,2914901,Itacaré,7.22
