"COD","INDICADOR_REND_P_FUND","SAEB_MEDIA_FUND","IDEB_2021_FUND","INDICADOR_REND_P_ENS_MEDIO","SAEB_MEDIA_ENS_MEDIO","IDEB_2021_ENS_MEDIO"
1100015,"0.96828","4.97613","4.8","0.892286","4.326666","3.9"
1100023,"0.873719","5.352632","4.7","0.881091","4.437153","3.9"
1100031,"0.939656","5.383488","5.1","0.968855","4.283235","4.1"
1100049,"0.996398","5.701083","5.7","0.934564","4.508396","4.2"
1100056,"0.993304","5.778827","5.7","0.828626","-","-"
1100064,"0.991089","5.9454","5.9","0.935753","-","-"
1100072,"0.976013","5.695366","5.6","0.947236","4.59686","4.4"
1100080,"0.961243","4.908764","4.7","0.85816","4.586992","3.9"
1100098,"0.980823","5.554675","5.4","1","4.331223","4.3"
1100106,"0.970726","4.973412","4.8","0.827092","4.166057","3.4"
1100114,"0.998398","5.408964","5.4","0.941226","4.350683","4.1"
1100122,"0.986551","5.539416","5.5","0.912179","4.587551","4.2"
1100130,"0.994377","4.73392","4.7","0.880899","4.378472","3.9"
1100148,"1","6.082191","6.1","0.820361","-","-"
1100155,"0.994992","5.426901","5.4","0.853128","4.845717","4.1"
1100189,"0.998797","5.742588","5.7","0.886824","5.012099","4.4"
1100205,"0.992983","5.424001","5.4","0.844596","4.456487","3.8"
1100254,"0.990156","5.377761","5.3","0.972262","4.247213","4.1"
1100262,"0.974071","-","-","0.97003","-","-"
1100288,"0.995793","5.63959","5.6","0.967205","4.775259","4.6"
1100296,"1","6.254104","6.3","1","-","-"
1100304,"0.983312","5.637291","5.5","0.770204","4.692224","3.6"
1100320,"0.997596","-","-","0.993618","-","-"
1100338,"0.952201","4.878942","4.6","0.918844","4.152149","3.8"
1100346,"0.991672","5.218613","5.2","0.938385","-","-"
1100379,"0.983102","5.209703","5.1","0.890764","-","-"
1100403,"0.959632","-","-","0.891657","-","-"
1100452,"0.989192","4.935218","4.9","0.877574","4.243792","3.7"
1100502,"1","5.425203","5.4","1","4.580673","4.6"
1100601,"0.997168","-","-","0.988938","4.427663","4.4"
1100700,"0.997389","5.493379","5.5","0.806739","4.218813","3.4"
1100809,"0.949477","5.074482","4.8","0.919996","4.392288","4"
1100908,"-","-","-","1","3.828676","3.8"
1100924,"1","-","-","0.919833","3.903083","3.6"
1100940,"0.991168","-","-","0.771213","-","-"
1101005,"0.973642","5.56057","5.4","0.96971","4.301046","4.2"
1101104,"0.998794","5.167106","5.2","0.950037","-","-"
1101203,"0.992711","5.426899","5.4","0.951907","-","-"
1101302,"0.968423","5.192028","5","0.811789","-","-"
1101401,"0.886016","-","-","0.922729","4.469474","4.1"
1101435,"0.988677","-","-","0.792281","-","-"
